Unnamed: 0,Player,Position,Age,Matches Played,Starts,90 mins played,Progressive Carries,Progressive Passes,Progressive Passes Recvd,Goals/90,Assists/90,(Goals+Assists)/90,Non Penalty Goals/90,Non Pen Goals+Assists/90,Shot On Target %,Shots total/90,Shots on Target/90,Goals/Shot,Passes Completed,Pass Completion Percentage,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Through Balls,Switches,Crosses,Shot Creating Actions/90,Successful Take Ons,Tackles,Tackles Won,Number of Blocks,Shots Blocked,Passes Blocked,Interceptions,Clearances,Errors leading to goal,Touches,Touches in Attacking 3rd,Touches in Penalty Box,Penalty Kicks won,Ball Recoveries,% of Aerial Duels won,Goals,Assists,Goals+Assists,Non-penalty goals,Non penalty goals+assists,Progressive Carries/90,Progressive Passes/90,Progressive Passes Recvd/90,Passes Completed/90,Key Passes/90,Passes into final third/90,Passes into penalty area/90,Crosses into penalty area/90,Through Balls/90,Switches/90,Crosses/90,Successful Take Ons/90,Tackles/90,Tackles Won/90,Number of Blocks/90,Shots Blocked/90,Passes Blocked/90,Interceptions/90,Clearances/90,Touches/90,Touches in Attacking 3rd/90,Touches in Penalty Box/90,Penalty Kicks won/90,Ball Recoveries/90
0,Giovanni Di Lorenzo,DF,29,37,36,36.2,73,256,182,0.08,0.11,0.19,0.08,0.19,41.9,0.86,0.36,0.1,2272,84.6,47,177,61,9,5,25,88,3.07,0,60,29,30,9,21,30,60,0,2957,788,94,0,171,54.7,3,4,7,3,7,2.016574586,7.071823204,5.027624309,62.76243094,1.298342541,4.889502762,1.685082873,0.248618785,0.138121547,0.690607735,2.430939227,0,1.657458564,0.801104972,0.828729282,0.248618785,0.580110497,0.828729282,1.657458564,81.68508287,21.7679558,2.596685083,0,4.723756906
1,Andre-Frank Zambo Anguissa,MF,27,36,36,33.9,58,181,140,0.09,0.15,0.24,0.09,0.24,30,1.48,0.44,0.06,1988,87.9,33,185,25,0,2,3,24,2.33,0,53,32,50,4,46,49,25,0,2647,758,88,1,226,63.5,3,5,8,3,8,1.710914454,5.339233038,4.12979351,58.64306785,0.973451327,5.457227139,0.737463127,0,0.05899705,0.088495575,0.707964602,0,1.563421829,0.943952802,1.474926254,0.1179941,1.356932153,1.445427729,0.737463127,78.08259587,22.35988201,2.595870206,0.029498525,6.666666667
2,Kim Min-jae,DF,26,35,35,33.9,42,169,8,0.06,0.06,0.12,0.06,0.12,37.5,0.24,0.09,0.25,2552,90.8,10,201,8,2,2,30,6,1.09,0,55,30,36,26,10,41,123,1,3142,104,27,0,211,62.8,2,2,4,2,4,1.238938053,4.985250737,0.235988201,75.28023599,0.294985251,5.92920354,0.235988201,0.05899705,0.05899705,0.884955752,0.17699115,0,1.622418879,0.884955752,1.061946903,0.766961652,0.294985251,1.209439528,3.628318584,92.68436578,3.067846608,0.796460177,0,6.224188791
3,Stanislav Lobotka,MF,28,38,34,34.5,51,172,39,0.03,0.03,0.06,0.03,0.06,36.4,0.32,0.12,0.09,2163,94,17,214,14,0,0,14,2,2.03,0,83,44,29,7,22,23,16,0,2536,379,14,1,254,41.4,1,1,2,1,2,1.47826087,4.985507246,1.130434783,62.69565217,0.492753623,6.202898551,0.405797101,0,0,0.405797101,0.057971014,0,2.405797101,1.275362319,0.84057971,0.202898551,0.637681159,0.666666667,0.463768116,73.50724638,10.98550725,0.405797101,0.028985507,7.362318841
4,Alex Meret,GK,26,34,34,34,0,0,0,0,0,0,0,0,,0,0,,818,87.9,0,1,0,0,0,2,0,0.03,0,0,0,0,0,0,0,6,1,974,0,0,0,66,100,0,0,0,0,0,0,0,0,24.05882353,0,0.029411765,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0.176470588,28.64705882,0,0,0,1.941176471
5,Victor Osimhen,FW,24,32,30,28.5,43,28,196,0.91,0.14,1.05,0.84,0.98,39.4,4.63,1.82,0.18,276,69,34,20,10,2,1,3,19,2.8,0,10,6,6,1,5,6,29,0,789,537,232,2,58,54.6,26,4,30,24,28,1.50877193,0.98245614,6.877192982,9.684210526,1.192982456,0.701754386,0.350877193,0.070175439,0.035087719,0.105263158,0.666666667,0,0.350877193,0.210526316,0.210526316,0.035087719,0.175438596,0.210526316,1.01754386,27.68421053,18.84210526,8.140350877,0.070175439,2.035087719
6,Khvicha Kvaratskhelia,FW,22,34,30,28,139,91,291,0.43,0.36,0.79,0.36,0.71,36.1,2.97,1.07,0.12,900,79.2,54,41,46,8,14,15,76,4.86,3,43,23,20,0,20,5,6,1,1548,976,175,4,118,38.1,12,10,22,10,20,4.964285714,3.25,10.39285714,32.14285714,1.928571429,1.464285714,1.642857143,0.285714286,0.5,0.535714286,2.714285714,0.107142857,1.535714286,0.821428571,0.714285714,0,0.714285714,0.178571429,0.214285714,55.28571429,34.85714286,6.25,0.142857143,4.214285714
7,Amir Rrahmani,DF,29,29,27,27.2,23,135,5,0.07,0.04,0.11,0.07,0.11,14.3,0.77,0.11,0.1,1977,91.2,12,149,7,0,0,30,1,0.96,0,33,18,36,20,16,14,79,1,2372,102,29,0,162,62.6,2,1,3,2,3,0.845588235,4.963235294,0.183823529,72.68382353,0.441176471,5.477941176,0.257352941,0,0,1.102941176,0.036764706,0,1.213235294,0.661764706,1.323529412,0.735294118,0.588235294,0.514705882,2.904411765,87.20588235,3.75,1.066176471,0,5.955882353
8,Piotr Zieliński,MF,29,37,27,25.4,62,128,129,0.12,0.31,0.43,0.12,0.43,35.8,2.08,0.75,0.06,1300,83.8,84,122,45,7,2,6,112,5.31,0,17,10,16,5,11,14,7,0,1755,765,54,0,102,23.5,3,8,11,3,11,2.440944882,5.039370079,5.078740157,51.18110236,3.307086614,4.803149606,1.771653543,0.275590551,0.078740157,0.236220472,4.409448819,0,0.669291339,0.393700787,0.62992126,0.196850394,0.433070866,0.551181102,0.275590551,69.09448819,30.11811024,2.125984252,0,4.015748031
9,Mário Rui,DF,32,22,21,19.4,52,153,97,0,0.31,0.31,0,0.31,36.4,0.57,0.21,0,1408,81.2,46,146,54,17,2,30,110,4.48,0,34,22,17,4,13,15,24,1,1864,552,11,0,155,34.2,0,6,6,0,6,2.680412371,7.886597938,5,72.57731959,2.371134021,7.525773196,2.783505155,0.87628866,0.103092784,1.546391753,5.670103093,0,1.75257732,1.134020619,0.87628866,0.206185567,0.670103093,0.773195876,1.237113402,96.08247423,28.45360825,0.567010309,0,7.989690722
