Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
2.0,10,3.0,0,0,66.66,10,1,2,v England,Cardiff,2018-06-16,ODI # 4010,Jhye Richardson
14.0,-,25.0,0,0,56.00,9,1,2,v England,Nottingham,2018-06-19,ODI # 4011,Jhye Richardson
5.0,-,6.0,0,0,83.33,9,0,1,v England,Chester-le-Street,2018-06-21,ODI # 4012,Jhye Richardson
2.0,8,6.0,0,0,33.33,8,1,1,v India,Adelaide,2019-01-15,ODI # 4078,Jhye Richardson
16.0,-,23.0,1,0,69.56,8,1,1,v India,Melbourne,2019-01-18,ODI # 4079,Jhye Richardson
0.0,-,0.0,0,0,-,8,0,2,v India,Mohali,2019-03-10,ODI # 4111,Jhye Richardson
29.0,-,21.0,3,0,138.09,8,1,1,v India,Delhi,2019-03-13,ODI # 4113,Jhye Richardson
24.0,35,20.0,3,0,120.00,8,0,1,v South Africa,Potchefstroom,2020-03-07,ODI # 4254,Jhye Richardson
1.0,18,3.0,0,0,33.33,10,0,2,v Sri Lanka,Pallekele,2022-06-14,ODI # 4409,Jhye Richardson
11.0,10,8.0,1,0,137.50,11,0,2,v South Africa,Gqeberha,2011-10-23,ODI # 3208,Pat Cummins
6.0,12,10.0,1,0,60.00,9,0,2,v South Africa,Durban,2011-10-28,ODI # 3211,Pat Cummins
4.0,3,4.0,1,0,100.00,10,1,2,v England,Lord's,2012-06-29,ODI # 3280,Pat Cummins
1.0,2,1.0,0,0,100.00,9,0,2,v South Africa,Melbourne,2014-11-21,ODI # 3549,Pat Cummins
0.0,2,4.0,0,0,0.00,9,1,2,v South Africa,Sydney,2014-11-23,ODI # 3551,Pat Cummins
7.0,51,30.0,1,0,23.33,11,0,1,v New Zealand,Auckland,2015-02-28,ODI # 3617,Pat Cummins
5.0,3,5.0,0,0,100.00,10,1,2,v England,Manchester,2015-09-08,ODI # 3682,Pat Cummins
