Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
7.0,-,4.0,1,0,175.00,4,1,1,v Zimbabwe,Sylhet,2020-03-06,ODI # 4253,Afif Hossain
27.0,31,22.0,3,0,122.72,7,0,1,v Sri Lanka,Mirpur,2021-05-23,ODI # 4290,Afif Hossain
10.0,14,9.0,2,0,111.11,7,1,1,v Sri Lanka,Mirpur,2021-05-25,ODI # 4291,Afif Hossain
16.0,27,17.0,0,0,94.11,7,1,2,v Sri Lanka,Mirpur,2021-05-28,ODI # 4292,Afif Hossain
45.0,61,35.0,1,2,128.57,7,1,1,v Zimbabwe,Harare,2021-07-16,ODI # 4304,Afif Hossain
15.0,25,23.0,0,0,65.21,8,1,2,v Zimbabwe,Harare,2021-07-18,ODI # 4306,Afif Hossain
26.0,21,17.0,3,1,152.94,7,0,2,v Zimbabwe,Harare,2021-07-20,ODI # 4308,Afif Hossain
93.0,187,115.0,11,1,80.86,7,0,2,v Afghanistan,Chattogram,2022-02-23,ODI # 4357,Afif Hossain
13.0,22,12.0,1,0,108.33,6,0,1,v Afghanistan,Chattogram,2022-02-25,ODI # 4358,Afif Hossain
5.0,9,6.0,1,0,83.33,7,1,1,v Afghanistan,Chattogram,2022-02-28,ODI # 4359,Afif Hossain
17.0,21,13.0,1,1,130.76,7,1,1,v South Africa,Centurion,2022-03-18,ODI # 4370,Afif Hossain
72.0,130,107.0,9,0,67.28,7,1,1,v South Africa,Johannesburg,2022-03-20,ODI # 4372,Afif Hossain
9.0,19,17.0,1,0,52.94,5,1,2,v West Indies,Providence,2022-07-10,ODI # 4421,Afif Hossain
0.0,4,2.0,0,0,0.00,5,1,2,v West Indies,Providence,2022-07-16,ODI # 4431,Afif Hossain
41.0,64,41.0,4,0,100.00,6,1,1,v Zimbabwe,Harare,2022-08-07,ODI # 4442,Afif Hossain
