Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
44.0,83,59.0,3,0,74.57,2,1,2,v West Indies,North Sound,2014-02-28,ODI # 3477,Moeen Ali
10.0,27,16.0,1,0,62.50,2,1,2,v West Indies,North Sound,2014-03-02,ODI # 3480,Moeen Ali
55.0,92,59.0,3,1,93.22,2,1,1,v West Indies,North Sound,2014-03-05,ODI # 3484,Moeen Ali
67.0,51,50.0,4,3,134.00,7,1,1,v India,Birmingham,2014-09-02,ODI # 3523,Moeen Ali
9.0,11,8.0,2,0,112.50,3,1,1,v India,Leeds,2014-09-05,ODI # 3525,Moeen Ali
119.0,139,87.0,11,5,136.78,2,1,2,v Sri Lanka,Colombo (RPS),2014-11-26,ODI # 3554,Moeen Ali
2.0,7,7.0,0,0,28.57,2,1,1,v Sri Lanka,Colombo (RPS),2014-11-29,ODI # 3557,Moeen Ali
58.0,65,40.0,2,5,145.00,2,1,2,v Sri Lanka,Hambantota,2014-12-03,ODI # 3561,Moeen Ali
19.0,37,20.0,3,0,95.00,1,1,1,v Sri Lanka,Colombo (RPS),2014-12-07,ODI # 3563,Moeen Ali
4.0,4,4.0,1,0,100.00,2,1,2,v Sri Lanka,Pallekele,2014-12-10,ODI # 3565,Moeen Ali
34.0,33,32.0,4,2,106.25,2,1,2,v Sri Lanka,Pallekele,2014-12-13,ODI # 3567,Moeen Ali
0.0,3,1.0,0,0,0.00,2,1,2,v Sri Lanka,Colombo (RPS),2014-12-16,ODI # 3569,Moeen Ali
22.0,41,21.0,2,1,104.76,2,1,1,v Australia,Sydney,2015-01-16,ODI # 3578,Moeen Ali
8.0,13,12.0,1,0,66.66,2,1,2,v India,Brisbane,2015-01-20,ODI # 3586,Moeen Ali
46.0,69,48.0,3,3,95.83,1,1,1,v Australia,Hobart,2015-01-23,ODI # 3589,Moeen Ali
17.0,57,34.0,1,0,50.00,2,1,2,v India,Perth,2015-01-30,ODI # 3595,Moeen Ali
26.0,44,30.0,5,0,86.66,1,1,2,v Australia,Perth,2015-02-01,ODI # 3597,Moeen Ali
10.0,20,13.0,2,0,76.92,1,1,2,v Australia,Melbourne,2015-02-14,ODI # 3600,Moeen Ali
20.0,31,15.0,4,0,133.33,2,1,1,v New Zealand,Wellington,2015-02-20,ODI # 3607,Moeen Ali
128.0,142,107.0,12,5,119.62,1,1,1,v Scotland,Christchurch,2015-02-23,ODI # 3611,Moeen Ali
15.0,43,26.0,3,0,57.69,1,1,1,v Sri Lanka,Wellington,2015-03-01,ODI # 3619,Moeen Ali
19.0,35,21.0,3,0,90.47,1,1,2,v Bangladesh,Adelaide,2015-03-09,ODI # 3630,Moeen Ali
17.0,30,18.0,3,0,94.44,7,1,2,v Australia,Southampton,2015-09-03,ODI # 3680,Moeen Ali
8.0,19,15.0,0,0,53.33,7,1,2,v Australia,Lord's,2015-09-05,ODI # 3681,Moeen Ali
1.0,5,3.0,0,0,33.33,7,1,1,v Australia,Manchester,2015-09-08,ODI # 3682,Moeen Ali
