Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
6.0,11,9.0,1,0,66.66,2,1,2,v Ireland,Dublin (Malahide),2022-07-10,ODI # 4419,Finn Allen
60.0,74,58.0,6,3,103.44,2,1,2,v Ireland,Dublin (Malahide),2022-07-12,ODI # 4423,Finn Allen
33.0,40,28.0,7,0,117.85,2,1,1,v Ireland,Dublin (Malahide),2022-07-15,ODI # 4429,Finn Allen
50.0,59,48.0,9,0,104.16,2,1,2,v Scotland,Edinburgh,2022-07-31,ODI # 4440,Finn Allen
25.0,-,24.0,2,2,104.16,2,1,1,v West Indies,Bridgetown,2022-08-17,ODI # 4450,Finn Allen
96.0,180,117.0,7,3,82.05,2,1,1,v West Indies,Bridgetown,2022-08-19,ODI # 4453,Finn Allen
3.0,18,9.0,0,0,33.33,2,1,2,v West Indies,Bridgetown,2022-08-21,ODI # 4456,Finn Allen
35.0,53,38.0,5,1,92.10,1,1,2,v Australia,Cairns,2022-09-11,ODI # 4464,Finn Allen
22.0,33,25.0,2,1,88.00,1,1,2,v India,Auckland,2022-11-25,ODI # 4483,Finn Allen
57.0,78,54.0,8,1,105.55,1,1,2,v India,Christchurch,2022-11-30,ODI # 4489,Finn Allen
29.0,40,27.0,6,0,107.40,1,1,1,v Pakistan,Karachi,2023-01-09,ODI # 4500,Finn Allen
1.0,6,4.0,0,0,25.00,1,1,1,v Pakistan,Karachi,2023-01-11,ODI # 4502,Finn Allen
25.0,44,25.0,4,0,100.00,1,1,2,v Pakistan,Karachi,2023-01-13,ODI # 4504,Finn Allen
40.0,63,39.0,7,1,102.56,1,1,2,v India,Hyderabad,2023-01-18,ODI # 4507,Finn Allen
0.0,4,5.0,0,0,0.00,1,1,1,v India,Raipur,2023-01-21,ODI # 4509,Finn Allen
0.0,3,2.0,0,0,0.00,1,1,2,v India,Indore,2023-01-24,ODI # 4511,Finn Allen
51.0,88,49.0,5,2,104.08,2,1,1,v Sri Lanka,Auckland,2023-03-25,ODI # 4548,Finn Allen
9.0,14,10.0,1,0,90.0,3,1,2,v India,Hamilton,2020-02-05,ODI # 4235,Tom Blundell
