Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
54.0,78,60.0,4,0,90.00,4,1,1,v Zimbabwe,Lahore,2015-05-31,ODI # 3653,Babar Azam
25.0,48,30.0,3,0,83.33,4,1,2,v Sri Lanka,Dambulla,2015-07-11,ODI # 3664,Babar Azam
12.0,23,19.0,1,0,63.15,4,1,1,v Sri Lanka,Pallekele,2015-07-15,ODI # 3669,Babar Azam
62.0,79,62.0,2,4,100.00,6,0,2,v England,Abu Dhabi,2015-11-11,ODI # 3707,Babar Azam
4.0,8,6.0,0,0,66.66,2,1,2,v England,Abu Dhabi,2015-11-13,ODI # 3708,Babar Azam
22.0,44,30.0,2,0,73.33,2,1,1,v England,Sharjah,2015-11-17,ODI # 3710,Babar Azam
51.0,65,51.0,5,1,100.00,4,1,2,v England,Dubai (DSC),2015-11-20,ODI # 3712,Babar Azam
62.0,105,76.0,6,0,81.57,4,1,2,v New Zealand,Wellington,2016-01-25,ODI # 3728,Babar Azam
83.0,129,77.0,10,1,107.79,4,1,1,v New Zealand,Auckland,2016-01-31,ODI # 3730,Babar Azam
29.0,-,29.0,2,0,100.00,4,1,1,v Ireland,Dublin (Malahide),2016-08-18,ODI # 3767,Babar Azam
40.0,44,42.0,4,0,95.23,4,1,1,v England,Southampton,2016-08-24,ODI # 3770,Babar Azam
30.0,49,33.0,5,0,90.90,4,1,1,v England,Lord's,2016-08-27,ODI # 3771,Babar Azam
9.0,31,19.0,0,0,47.36,4,1,2,v England,Nottingham,2016-08-30,ODI # 3773,Babar Azam
12.0,31,21.0,0,0,57.14,4,1,1,v England,Leeds,2016-09-01,ODI # 3775,Babar Azam
31.0,38,29.0,6,0,106.89,3,1,2,v England,Cardiff,2016-09-04,ODI # 3777,Babar Azam
120.0,177,131.0,8,3,91.60,3,1,1,v West Indies,Sharjah,2016-09-30,ODI # 3784,Babar Azam
123.0,164,126.0,9,1,97.61,3,1,1,v West Indies,Sharjah,2016-10-02,ODI # 3788,Babar Azam
117.0,-,106.0,8,1,110.37,3,1,1,v West Indies,Abu Dhabi,2016-10-05,ODI # 3789,Babar Azam
33.0,70,46.0,3,0,71.73,4,1,2,v Australia,Brisbane,2017-01-13,ODI # 3817,Babar Azam
34.0,75,49.0,5,0,69.38,3,1,2,v Australia,Melbourne,2017-01-15,ODI # 3818,Babar Azam
84.0,157,100.0,4,1,84.00,3,1,1,v Australia,Perth,2017-01-19,ODI # 3820,Babar Azam
31.0,47,39.0,4,0,79.48,3,1,2,v Australia,Sydney,2017-01-22,ODI # 3822,Babar Azam
100.0,153,109.0,7,1,91.74,3,1,2,v Australia,Adelaide,2017-01-26,ODI # 3826,Babar Azam
13.0,-,21.0,0,0,61.90,4,1,1,v West Indies,Providence,2017-04-07,ODI # 3861,Babar Azam
125.0,-,132.0,7,3,94.69,3,0,1,v West Indies,Providence,2017-04-09,ODI # 3862,Babar Azam
16.0,-,22.0,3,0,72.72,3,1,2,v West Indies,Providence,2017-04-11,ODI # 3863,Babar Azam
8.0,15,12.0,1,0,66.66,3,1,2,v India,Birmingham,2017-06-04,ODI # 3878,Babar Azam
31.0,80,51.0,4,0,60.78,3,0,2,v South Africa,Birmingham,2017-06-07,ODI # 3881,Babar Azam
10.0,22,18.0,1,0,55.55,3,1,2,v Sri Lanka,Cardiff,2017-06-12,ODI # 3888,Babar Azam
38.0,65,45.0,2,1,84.44,3,0,2,v England,Cardiff,2017-06-14,ODI # 3889,Babar Azam
46.0,84,52.0,4,0,88.46,3,1,1,v India,The Oval,2017-06-18,ODI # 3894,Babar Azam
103.0,-,131.0,5,0,78.62,3,1,1,v Sri Lanka,Dubai (DSC),2017-10-13,ODI # 3922,Babar Azam
101.0,-,133.0,6,0,75.93,3,1,1,v Sri Lanka,Abu Dhabi,2017-10-16,ODI # 3924,Babar Azam
30.0,-,39.0,1,0,76.92,3,1,2,v Sri Lanka,Abu Dhabi,2017-10-18,ODI # 3926,Babar Azam
69.0,-,101.0,5,0,68.31,3,0,2,v Sri Lanka,Sharjah,2017-10-20,ODI # 3927,Babar Azam
0.0,1,1.0,0,0,0.00,3,1,2,v New Zealand,Wellington,2018-01-06,ODI # 3946,Babar Azam
10.0,30,17.0,2,0,58.82,3,1,1,v New Zealand,Nelson,2018-01-09,ODI # 3947,Babar Azam
8.0,43,28.0,1,0,28.57,3,1,2,v New Zealand,Dunedin,2018-01-13,ODI # 3949,Babar Azam
3.0,8,9.0,0,0,33.33,3,1,1,v New Zealand,Hamilton,2018-01-16,ODI # 3953,Babar Azam
10.0,20,21.0,2,0,47.61,3,1,2,v New Zealand,Wellington,2018-01-19,ODI # 3957,Babar Azam
30.0,31,34.0,3,0,88.23,3,1,1,v Zimbabwe,Bulawayo,2018-07-13,ODI # 4015,Babar Azam
29.0,56,36.0,1,0,80.55,3,0,2,v Zimbabwe,Bulawayo,2018-07-16,ODI # 4017,Babar Azam
19.0,49,34.0,3,0,55.88,3,0,2,v Zimbabwe,Bulawayo,2018-07-18,ODI # 4019,Babar Azam
106.0,111,76.0,9,2,139.47,3,0,1,v Zimbabwe,Bulawayo,2018-07-22,ODI # 4021,Babar Azam
33.0,-,36.0,3,1,91.66,3,1,2,v Hong Kong,Dubai (DSC),2018-09-16,ODI # 4037,Babar Azam
47.0,-,62.0,6,0,75.80,3,1,1,v India,Dubai (DSC),2018-09-19,ODI # 4040,Babar Azam
66.0,-,94.0,4,1,70.21,3,1,2,v Afghanistan,Abu Dhabi,2018-09-21,ODI # 4043,Babar Azam
9.0,-,25.0,0,0,36.00,3,1,1,v India,Dubai (DSC),2018-09-23,ODI # 4044,Babar Azam
1.0,-,3.0,0,0,33.33,3,1,2,v Bangladesh,Abu Dhabi,2018-09-26,ODI # 4047,Babar Azam
0.0,-,1.0,0,0,0.00,3,1,2,v New Zealand,Abu Dhabi,2018-11-07,ODI # 4066,Babar Azam
46.0,-,50.0,5,0,92.00,3,1,2,v New Zealand,Abu Dhabi,2018-11-09,ODI # 4068,Babar Azam
92.0,-,100.0,4,1,92.00,3,1,1,v New Zealand,Dubai (DSC),2018-11-11,ODI # 4070,Babar Azam
49.0,79,69.0,5,0,71.01,3,1,2,v South Africa,Gqeberha,2019-01-19,ODI # 4080,Babar Azam
12.0,18,15.0,2,0,80.00,3,1,1,v South Africa,Durban,2019-01-22,ODI # 4081,Babar Azam
69.0,109,72.0,7,1,95.83,3,1,1,v South Africa,Centurion,2019-01-25,ODI # 4084,Babar Azam
41.0,71,53.0,2,0,77.35,3,0,2,v South Africa,Johannesburg,2019-01-27,ODI # 4087,Babar Azam
24.0,41,25.0,4,0,96.00,3,1,1,v South Africa,Cape Town,2019-01-30,ODI # 4090,Babar Azam
16.0,-,20.0,3,0,80.00,3,1,1,v England,The Oval,2019-05-08,ODI # 4130,Babar Azam
51.0,83,52.0,1,0,98.07,3,1,2,v England,Southampton,2019-05-11,ODI # 4133,Babar Azam
15.0,17,11.0,3,0,136.36,3,1,1,v England,Bristol,2019-05-14,ODI # 4135,Babar Azam
115.0,150,112.0,13,1,102.67,3,1,1,v England,Nottingham,2019-05-17,ODI # 4138,Babar Azam
80.0,101,83.0,9,1,96.38,3,1,2,v England,Leeds,2019-05-19,ODI # 4140,Babar Azam
22.0,47,33.0,2,0,66.66,3,1,1,v West Indies,Nottingham,2019-05-31,ODI # 4144,Babar Azam
63.0,83,66.0,4,1,95.45,3,1,1,v England,Nottingham,2019-06-03,ODI # 4148,Babar Azam
30.0,37,28.0,7,0,107.14,3,1,2,v Australia,Taunton,2019-06-12,ODI # 4157,Babar Azam
48.0,83,57.0,3,1,84.21,3,1,2,v India,Manchester,2019-06-16,ODI # 4161,Babar Azam
69.0,113,80.0,7,0,86.25,3,1,1,v South Africa,Lord's,2019-06-23,ODI # 4171,Babar Azam
101.0,198,127.0,11,0,79.52,3,0,2,v New Zealand,Birmingham,2019-06-26,ODI # 4174,Babar Azam
45.0,63,51.0,5,0,88.23,3,1,2,v Afghanistan,Leeds,2019-06-29,ODI # 4177,Babar Azam
96.0,102,98.0,11,0,97.95,3,1,1,v Bangladesh,Lord's,2019-07-05,ODI # 4186,Babar Azam
115.0,-,105.0,8,4,109.52,3,1,1,v Sri Lanka,Karachi,2019-09-30,ODI # 4211,Babar Azam
31.0,-,26.0,2,0,119.23,3,1,2,v Sri Lanka,Karachi,2019-10-02,ODI # 4212,Babar Azam
19.0,30,18.0,3,0,105.55,3,1,1,v Zimbabwe,Rawalpindi,2020-10-30,ODI # 4262,Babar Azam
77.0,92,74.0,7,2,104.05,3,0,2,v Zimbabwe,Rawalpindi,2020-11-01,ODI # 4263,Babar Azam
125.0,201,125.0,13,1,100.00,3,1,2,v Zimbabwe,Rawalpindi,2020-11-03,ODI # 4264,Babar Azam
103.0,132,104.0,17,0,99.03,3,1,2,v South Africa,Centurion,2021-04-02,ODI # 4285,Babar Azam
31.0,43,33.0,6,0,93.93,3,1,2,v South Africa,Johannesburg,2021-04-04,ODI # 4286,Babar Azam
94.0,118,82.0,7,3,114.63,3,1,1,v South Africa,Centurion,2021-04-07,ODI # 4287,Babar Azam
0.0,2,2.0,0,0,0.00,3,1,1,v England,Cardiff,2021-07-08,ODI # 4299,Babar Azam
19.0,19,15.0,4,0,126.66,3,1,2,v England,Lord's,2021-07-10,ODI # 4300,Babar Azam
158.0,198,139.0,14,4,113.66,3,1,1,v England,Birmingham,2021-07-13,ODI # 4303,Babar Azam
57.0,92,72.0,6,0,79.16,3,1,2,v Australia,Lahore,2022-03-29,ODI # 4379,Babar Azam
114.0,119,83.0,11,1,137.34,3,1,2,v Australia,Lahore,2022-03-31,ODI # 4380,Babar Azam
105.0,144,115.0,12,0,91.30,3,0,2,v Australia,Lahore,2022-04-02,ODI # 4382,Babar Azam
103.0,184,107.0,9,0,96.26,3,1,2,v West Indies,Multan,2022-06-08,ODI # 4401,Babar Azam
77.0,140,93.0,5,1,82.79,3,1,1,v West Indies,Multan,2022-06-10,ODI # 4405,Babar Azam
1.0,5,3.0,0,0,33.33,3,1,1,v West Indies,Multan,2022-06-12,ODI # 4407,Babar Azam
74.0,129,85.0,6,1,87.05,3,1,1,v Netherlands,Rotterdam,2022-08-16,ODI # 4448,Babar Azam
57.0,-,65.0,7,0,87.69,3,1,2,v Netherlands,Rotterdam,2022-08-18,ODI # 4452,Babar Azam
91.0,169,125.0,7,2,72.80,3,1,1,v Netherlands,Rotterdam,2022-08-21,ODI # 4455,Babar Azam
66.0,129,82.0,5,1,80.48,3,1,2,v New Zealand,Karachi,2023-01-09,ODI # 4500,Babar Azam
79.0,170,114.0,8,1,69.29,3,1,2,v New Zealand,Karachi,2023-01-11,ODI # 4502,Babar Azam
4.0,23,13.0,1,0,30.76,3,1,1,v New Zealand,Karachi,2023-01-13,ODI # 4504,Babar Azam
49.0,66,46.0,3,1,106.52,3,1,2,v New Zealand,Rawalpindi,2023-04-27,ODI # 4569,Babar Azam
65.0,84,66.0,5,1,98.48,3,1,2,v New Zealand,Rawalpindi,2023-04-29,ODI # 4571,Babar Azam
54.0,85,62.0,3,1,87.09,3,1,1,v New Zealand,Karachi,2023-05-03,ODI # 4573,Babar Azam
107.0,190,117.0,10,0,91.45,3,1,1,v New Zealand,Karachi,2023-05-05,ODI # 4574,Babar Azam
1.0,6,5.0,0,0,20.00,3,1,2,v New Zealand,Karachi,2023-05-07,ODI # 4575,Babar Azam
67.0,84,58.0,8,0,115.51,5,1,2,v Bangladesh,Mirpur,2015-04-17,ODI # 3647,Mohammad Rizwan
13.0,18,22.0,2,0,59.09,6,1,1,v Bangladesh,Mirpur,2015-04-19,ODI # 3648,Mohammad Rizwan
4.0,12,6.0,0,0,66.66,5,1,1,v Bangladesh,Mirpur,2015-04-22,ODI # 3649,Mohammad Rizwan
20.0,36,34.0,2,0,58.82,6,0,2,v Sri Lanka,Dambulla,2015-07-11,ODI # 3664,Mohammad Rizwan
52.0,56,38.0,5,1,136.84,6,1,1,v Sri Lanka,Pallekele,2015-07-15,ODI # 3669,Mohammad Rizwan
35.0,27,22.0,2,1,159.09,6,0,1,v Sri Lanka,Colombo (RPS),2015-07-19,ODI # 3670,Mohammad Rizwan
29.0,50,34.0,4,0,85.29,6,1,2,v Sri Lanka,Hambantota,2015-07-26,ODI # 3672,Mohammad Rizwan
75.0,105,74.0,4,2,101.35,6,0,1,v Zimbabwe,Harare,2015-10-01,ODI # 3685,Mohammad Rizwan
8.0,14,10.0,1,0,80.00,7,1,2,v Zimbabwe,Harare,2015-10-03,ODI # 3686,Mohammad Rizwan
17.0,36,37.0,1,0,45.94,6,1,2,v England,Abu Dhabi,2015-11-13,ODI # 3708,Mohammad Rizwan
1.0,7,3.0,0,0,33.33,6,1,1,v England,Sharjah,2015-11-17,ODI # 3710,Mohammad Rizwan
11.0,9,8.0,1,1,137.50,6,1,2,v England,Dubai (DSC),2015-11-20,ODI # 3712,Mohammad Rizwan
16.0,19,18.0,1,0,88.88,7,1,1,v New Zealand,Auckland,2016-01-31,ODI # 3730,Mohammad Rizwan
6.0,11,14.0,0,0,42.85,6,1,1,v England,Leeds,2016-09-01,ODI # 3775,Mohammad Rizwan
34.0,48,34.0,4,0,100.00,6,0,2,v England,Cardiff,2016-09-04,ODI # 3777,Mohammad Rizwan
11.0,15,12.0,1,0,91.66,6,1,1,v West Indies,Sharjah,2016-09-30,ODI # 3784,Mohammad Rizwan
6.0,7,4.0,0,0,150.00,7,0,1,v West Indies,Sharjah,2016-10-02,ODI # 3788,Mohammad Rizwan
4.0,-,3.0,0,0,133.33,6,1,1,v West Indies,Abu Dhabi,2016-10-05,ODI # 3789,Mohammad Rizwan
21.0,53,44.0,0,0,47.72,6,1,2,v Australia,Brisbane,2017-01-13,ODI # 3817,Mohammad Rizwan
14.0,20,19.0,1,0,73.68,8,0,1,v Australia,Perth,2017-01-19,ODI # 3820,Mohammad Rizwan
10.0,26,12.0,1,0,83.33,7,1,2,v Australia,Sydney,2017-01-22,ODI # 3822,Mohammad Rizwan
6.0,16,6.0,0,0,100.00,7,1,2,v Australia,Adelaide,2017-01-26,ODI # 3826,Mohammad Rizwan
4.0,3,1.0,1,0,400.00,4,0,2,v South Africa,Johannesburg,2019-01-27,ODI # 4087,Mohammad Rizwan
10.0,36,30.0,1,0,33.33,6,1,1,v South Africa,Cape Town,2019-01-30,ODI # 4090,Mohammad Rizwan
115.0,-,126.0,11,0,91.26,4,1,1,v Australia,Sharjah,2019-03-24,ODI # 4117,Mohammad Rizwan
0.0,-,3.0,0,0,0.00,4,1,2,v Australia,Abu Dhabi,2019-03-27,ODI # 4118,Mohammad Rizwan
104.0,-,102.0,9,1,101.96,4,1,2,v Australia,Dubai (DSC),2019-03-29,ODI # 4119,Mohammad Rizwan
12.0,-,13.0,1,0,92.30,4,1,2,v Australia,Dubai (DSC),2019-03-31,ODI # 4120,Mohammad Rizwan
14.0,41,29.0,0,0,48.27,5,1,1,v Zimbabwe,Rawalpindi,2020-10-30,ODI # 4262,Mohammad Rizwan
1.0,17,5.0,0,0,20.00,5,1,2,v Zimbabwe,Rawalpindi,2020-11-01,ODI # 4263,Mohammad Rizwan
10.0,32,26.0,0,0,38.46,5,1,2,v Zimbabwe,Rawalpindi,2020-11-03,ODI # 4264,Mohammad Rizwan
40.0,73,52.0,4,0,76.92,4,1,2,v South Africa,Centurion,2021-04-02,ODI # 4285,Mohammad Rizwan
0.0,4,2.0,0,0,0.00,4,1,2,v South Africa,Johannesburg,2021-04-04,ODI # 4286,Mohammad Rizwan
2.0,10,7.0,0,0,28.57,4,1,1,v South Africa,Centurion,2021-04-07,ODI # 4287,Mohammad Rizwan
13.0,15,9.0,3,0,144.44,4,1,1,v England,Cardiff,2021-07-08,ODI # 4299,Mohammad Rizwan
5.0,19,11.0,1,0,45.45,4,1,2,v England,Lord's,2021-07-10,ODI # 4300,Mohammad Rizwan
74.0,87,58.0,8,0,127.58,4,1,1,v England,Birmingham,2021-07-13,ODI # 4303,Mohammad Rizwan
10.0,19,18.0,0,0,55.55,5,1,2,v Australia,Lahore,2022-03-29,ODI # 4379,Mohammad Rizwan
23.0,55,26.0,0,0,88.46,4,1,2,v Australia,Lahore,2022-03-31,ODI # 4380,Mohammad Rizwan
59.0,104,61.0,2,1,96.72,4,1,2,v West Indies,Multan,2022-06-08,ODI # 4401,Mohammad Rizwan
15.0,42,23.0,0,0,65.21,4,1,1,v West Indies,Multan,2022-06-10,ODI # 4405,Mohammad Rizwan
11.0,35,21.0,0,0,52.38,4,1,1,v West Indies,Multan,2022-06-12,ODI # 4407,Mohammad Rizwan
14.0,24,17.0,0,1,82.35,4,1,1,v Netherlands,Rotterdam,2022-08-16,ODI # 4448,Mohammad Rizwan
69.0,-,82.0,6,1,84.14,4,0,2,v Netherlands,Rotterdam,2022-08-18,ODI # 4452,Mohammad Rizwan
77.0,117,86.0,6,1,89.53,4,0,2,v New Zealand,Karachi,2023-01-09,ODI # 4500,Mohammad Rizwan
28.0,63,50.0,2,0,56.00,4,1,2,v New Zealand,Karachi,2023-01-11,ODI # 4502,Mohammad Rizwan
77.0,116,74.0,6,0,104.05,4,1,1,v New Zealand,Karachi,2023-01-13,ODI # 4504,Mohammad Rizwan
42.0,48,34.0,6,1,123.52,5,0,2,v New Zealand,Rawalpindi,2023-04-27,ODI # 4569,Mohammad Rizwan
54.0,69,41.0,6,0,131.70,5,0,2,v New Zealand,Rawalpindi,2023-04-29,ODI # 4571,Mohammad Rizwan
32.0,61,34.0,0,1,94.11,5,1,1,v New Zealand,Karachi,2023-05-03,ODI # 4573,Mohammad Rizwan
24.0,35,28.0,1,0,85.71,4,1,1,v New Zealand,Karachi,2023-05-05,ODI # 4574,Mohammad Rizwan
9.0,30,15.0,1,0,60.00,4,1,2,v New Zealand,Karachi,2023-05-07,ODI # 4575,Mohammad Rizwan
5.0,24,21.0,1,0,23.80,4,1,2,v England,Abu Dhabi,2015-11-13,ODI # 3708,Iftikhar Ahmed
3.0,11,10.0,0,0,30.00,7,1,1,v England,Sharjah,2015-11-17,ODI # 3710,Iftikhar Ahmed
32.0,-,20.0,2,2,160.00,6,0,1,v Sri Lanka,Karachi,2019-09-30,ODI # 4211,Iftikhar Ahmed
28.0,-,22.0,3,1,127.27,6,0,2,v Sri Lanka,Karachi,2019-10-02,ODI # 4212,Iftikhar Ahmed
12.0,17,14.0,0,1,85.71,6,1,1,v Zimbabwe,Rawalpindi,2020-10-30,ODI # 4262,Iftikhar Ahmed
16.0,27,24.0,1,0,66.66,6,0,2,v Zimbabwe,Rawalpindi,2020-11-01,ODI # 4263,Iftikhar Ahmed
18.0,25,21.0,2,0,85.71,6,1,2,v Zimbabwe,Rawalpindi,2020-11-03,ODI # 4264,Iftikhar Ahmed
2.0,10,9.0,0,0,22.22,6,1,2,v Australia,Lahore,2022-03-29,ODI # 4379,Iftikhar Ahmed
