Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
113.0,152,123.0,13,1,91.86,2,1,1,v Ireland,Benoni,2016-09-25,ODI # 3780,Temba Bavuma
48.0,-,47.0,5,0,102.12,1,1,1,v Bangladesh,East London,2017-10-22,ODI # 3929,Temba Bavuma
98.0,150,103.0,5,2,95.14,3,1,2,v England,Cape Town,2020-02-04,ODI # 4234,Temba Bavuma
21.0,22,17.0,1,1,123.52,3,1,1,v England,Durban,2020-02-07,ODI # 4238,Temba Bavuma
29.0,56,43.0,3,0,67.44,3,1,1,v England,Johannesburg,2020-02-09,ODI # 4242,Temba Bavuma
26.0,45,30.0,3,0,86.66,3,1,1,v Australia,Paarl,2020-02-29,ODI # 4248,Temba Bavuma
1.0,12,4.0,0,0,25.00,3,1,1,v Pakistan,Centurion,2021-04-02,ODI # 4285,Temba Bavuma
92.0,167,102.0,9,0,90.19,3,1,1,v Pakistan,Johannesburg,2021-04-04,ODI # 4286,Temba Bavuma
20.0,42,23.0,2,0,86.95,4,1,2,v Pakistan,Centurion,2021-04-07,ODI # 4287,Temba Bavuma
10.0,24,20.0,0,0,50.00,3,1,2,v Ireland,Dublin (Malahide),2021-07-13,ODI # 4302,Temba Bavuma
3.0,7,3.0,0,0,100.00,6,0,1,v Ireland,Dublin (Malahide),2021-07-16,ODI # 4305,Temba Bavuma
38.0,78,53.0,1,0,71.69,3,1,2,v Sri Lanka,Colombo (RPS),2021-09-02,ODI # 4314,Temba Bavuma
110.0,200,143.0,8,0,76.92,3,1,1,v India,Paarl,2022-01-19,ODI # 4344,Temba Bavuma
35.0,62,36.0,3,0,97.22,3,1,2,v India,Paarl,2022-01-21,ODI # 4346,Temba Bavuma
8.0,24,12.0,1,0,66.66,3,1,1,v India,Cape Town,2022-01-23,ODI # 4349,Temba Bavuma
31.0,107,55.0,2,0,56.36,3,1,2,v Bangladesh,Centurion,2022-03-18,ODI # 4370,Temba Bavuma
37.0,58,52.0,3,1,71.15,4,1,2,v Bangladesh,Johannesburg,2022-03-20,ODI # 4372,Temba Bavuma
