Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
42.0,-,19.0,5,3,221.05,6,1,1,v Ireland,Dublin (Malahide),2016-06-16,ODI # 3748,Dasun Shanaka
1.0,-,2.0,0,0,50.00,4,1,1,v Ireland,Dublin (Malahide),2016-06-18,ODI # 3749,Dasun Shanaka
20.0,23,19.0,1,1,105.26,8,1,1,v England,Nottingham,2016-06-21,ODI # 3751,Dasun Shanaka
2.0,9,8.0,0,0,25.00,8,1,1,v England,Bristol,2016-06-26,ODI # 3755,Dasun Shanaka
19.0,16,10.0,3,0,190.00,7,0,1,v England,The Oval,2016-06-29,ODI # 3757,Dasun Shanaka
22.0,24,29.0,1,1,75.86,7,1,2,v England,Cardiff,2016-07-02,ODI # 3758,Dasun Shanaka
13.0,38,17.0,1,0,76.47,7,1,1,v Australia,Pallekele,2016-09-04,ODI # 3776,Dasun Shanaka
65.0,-,34.0,4,5,191.17,8,1,1,v South Africa,Pallekele,2018-08-08,ODI # 4030,Dasun Shanaka
21.0,-,15.0,2,1,140.00,8,1,1,v South Africa,Colombo (RPS),2018-08-12,ODI # 4031,Dasun Shanaka
7.0,-,22.0,0,0,31.81,6,1,2,v Bangladesh,Dubai (DSC),2018-09-15,ODI # 4036,Dasun Shanaka
0.0,-,2.0,0,0,0.00,8,1,2,v Afghanistan,Abu Dhabi,2018-09-17,ODI # 4038,Dasun Shanaka
8.0,18,15.0,1,0,53.33,5,1,2,v England,Dambulla,2018-10-13,ODI # 4053,Dasun Shanaka
21.0,-,10.0,1,2,210.00,7,1,1,v England,Pallekele,2018-10-17,ODI # 4054,Dasun Shanaka
66.0,-,66.0,4,5,100.00,6,1,1,v England,Pallekele,2018-10-20,ODI # 4055,Dasun Shanaka
18.0,-,11.0,3,0,163.63,5,1,1,v England,Colombo (RPS),2018-10-23,ODI # 4058,Dasun Shanaka
2.0,-,7.0,0,0,28.57,5,1,2,v New Zealand,Nelson,2019-01-08,ODI # 4076,Dasun Shanaka
30.0,-,14.0,2,2,214.28,6,1,1,v Bangladesh,Colombo (RPS),2019-07-31,ODI # 4195,Dasun Shanaka
68.0,-,80.0,6,2,85.00,7,1,2,v Pakistan,Karachi,2019-09-30,ODI # 4211,Dasun Shanaka
43.0,-,24.0,5,2,179.16,7,1,1,v Pakistan,Karachi,2019-10-02,ODI # 4212,Dasun Shanaka
22.0,41,27.0,1,0,81.48,5,1,1,v West Indies,North Sound,2021-03-14,ODI # 4278,Dasun Shanaka
14.0,35,25.0,1,0,56.00,7,1,2,v Bangladesh,Mirpur,2021-05-23,ODI # 4290,Dasun Shanaka
11.0,19,19.0,0,1,57.89,7,1,2,v Bangladesh,Mirpur,2021-05-25,ODI # 4291,Dasun Shanaka
1.0,14,9.0,0,0,11.11,4,1,1,v England,Chester-le-Street,2021-06-29,ODI # 4296,Dasun Shanaka
47.0,100,67.0,2,1,70.14,7,1,1,v England,The Oval,2021-07-01,ODI # 4297,Dasun Shanaka
48.0,122,65.0,2,2,73.84,7,0,1,v England,Bristol,2021-07-04,ODI # 4298,Dasun Shanaka
39.0,82,50.0,2,1,78.00,6,1,1,v India,Colombo (RPS),2021-07-18,ODI # 4307,Dasun Shanaka
16.0,38,24.0,1,0,66.66,6,1,1,v India,Colombo (RPS),2021-07-20,ODI # 4309,Dasun Shanaka
0.0,6,1.0,0,0,0.00,6,1,2,v India,Colombo (RPS),2021-07-23,ODI # 4312,Dasun Shanaka
6.0,16,9.0,1,0,66.66,6,1,1,v South Africa,Colombo (RPS),2021-09-02,ODI # 4314,Dasun Shanaka
30.0,50,41.0,2,0,73.17,6,1,2,v South Africa,Colombo (RPS),2021-09-04,ODI # 4315,Dasun Shanaka
13.0,18,12.0,1,0,108.33,6,1,1,v South Africa,Colombo (RPS),2021-09-07,ODI # 4318,Dasun Shanaka
10.0,18,12.0,1,0,83.33,6,0,2,v Zimbabwe,Pallekele,2022-01-16,ODI # 4341,Dasun Shanaka
102.0,129,94.0,7,4,108.51,6,1,2,v Zimbabwe,Pallekele,2022-01-18,ODI # 4343,Dasun Shanaka
15.0,34,23.0,1,0,65.21,6,1,1,v Zimbabwe,Pallekele,2022-01-21,ODI # 4347,Dasun Shanaka
6.0,16,7.0,1,0,85.71,6,1,1,v Australia,Pallekele,2022-06-14,ODI # 4409,Dasun Shanaka
34.0,58,36.0,5,0,94.44,6,1,1,v Australia,Pallekele,2022-06-16,ODI # 4412,Dasun Shanaka
0.0,3,2.0,0,0,0.00,6,1,2,v Australia,Colombo (RPS),2022-06-19,ODI # 4415,Dasun Shanaka
4.0,20,8.0,0,0,50.00,6,1,1,v Australia,Colombo (RPS),2022-06-21,ODI # 4416,Dasun Shanaka
1.0,11,3.0,0,0,33.33,6,1,1,v Australia,Colombo (RPS),2022-06-24,ODI # 4418,Dasun Shanaka
16.0,37,27.0,2,0,59.25,6,1,2,v Afghanistan,Pallekele,2022-11-25,ODI # 4485,Dasun Shanaka
43.0,55,44.0,5,0,97.72,6,1,2,v Afghanistan,Pallekele,2022-11-30,ODI # 4490,Dasun Shanaka
108.0,112,88.0,12,3,122.72,6,0,2,v India,Guwahati,2023-01-10,ODI # 4501,Dasun Shanaka
2.0,8,4.0,0,0,50.00,6,1,1,v India,Eden Gardens,2023-01-12,ODI # 4503,Dasun Shanaka
11.0,42,26.0,2,0,42.30,5,1,2,v India,Thiruvananthapuram,2023-01-15,ODI # 4505,Dasun Shanaka
0.0,1,1.0,0,0,0.00,6,1,2,v New Zealand,Auckland,2023-03-25,ODI # 4548,Dasun Shanaka
31.0,54,36.0,2,2,86.11,7,1,1,v New Zealand,Hamilton,2023-03-31,ODI # 4557,Dasun Shanaka
17.0,24,16.0,1,0,106.25,7,1,1,v Afghanistan,Hambantota,2023-06-02,ODI # 4579,Dasun Shanaka
23.0,19,13.0,2,1,176.92,7,1,1,v Afghanistan,Hambantota,2023-06-04,ODI # 4580,Dasun Shanaka
1.0,-,3.0,0,0,33.33,6,1,1,v U.A.E.,Bulawayo,2023-06-19,ODI # 4587,Dasun Shanaka
5.0,11,7.0,0,0,71.42,7,1,1,v Ireland,Bulawayo,2023-06-25,ODI # 4599,Dasun Shanaka
0.0,1,1.0,0,0,0.00,7,1,1,v Scotland,Bulawayo,2023-06-27,ODI # 4603,Dasun Shanaka
5.0,28,20.0,0,0,25.00,7,1,1,v Netherlands,Bulawayo,2023-06-30,ODI # 4606,Dasun Shanaka
1.0,2,2.0,0,0,50.00,7,1,1,v Netherlands,Harare,2023-07-09,ODI # 4620,Dasun Shanaka
4.0,20,10.0,0,0,40.00,1,1,1,v India,Ranchi,2014-11-16,ODI # 3547,Niroshan Dickwella
41.0,49,38.0,6,0,107.89,3,1,2,v Zimbabwe,Harare,2016-11-14,ODI # 3804,Niroshan Dickwella
28.0,61,45.0,3,0,62.22,3,1,2,v West Indies,Harare,2016-11-16,ODI # 3805,Niroshan Dickwella
94.0,135,106.0,7,1,88.67,3,1,1,v West Indies,Bulawayo,2016-11-23,ODI # 3808,Niroshan Dickwella
16.0,18,16.0,2,0,100.00,3,1,2,v Zimbabwe,Bulawayo,2016-11-27,ODI # 3810,Niroshan Dickwella
1.0,5,4.0,0,0,25.00,1,1,1,v South Africa,Gqeberha,2017-01-28,ODI # 3828,Niroshan Dickwella
25.0,35,22.0,3,0,113.63,1,1,2,v South Africa,Durban,2017-02-01,ODI # 3830,Niroshan Dickwella
74.0,151,80.0,7,0,92.50,1,1,1,v South Africa,Johannesburg,2017-02-04,ODI # 3831,Niroshan Dickwella
58.0,65,47.0,9,0,123.40,1,1,2,v South Africa,Cape Town,2017-02-07,ODI # 3833,Niroshan Dickwella
39.0,34,19.0,5,2,205.26,1,1,2,v South Africa,Centurion,2017-02-10,ODI # 3834,Niroshan Dickwella
41.0,42,33.0,5,1,124.24,1,1,2,v South Africa,The Oval,2017-06-03,ODI # 3877,Niroshan Dickwella
7.0,20,18.0,0,0,38.88,1,1,2,v India,The Oval,2017-06-08,ODI # 3882,Niroshan Dickwella
73.0,158,86.0,4,0,84.88,1,1,1,v Pakistan,Cardiff,2017-06-12,ODI # 3888,Niroshan Dickwella
10.0,17,13.0,1,0,76.92,1,1,1,v Zimbabwe,Galle,2017-06-30,ODI # 3897,Niroshan Dickwella
35.0,73,54.0,4,0,64.81,1,1,2,v Zimbabwe,Galle,2017-07-02,ODI # 3899,Niroshan Dickwella
102.0,148,116.0,14,0,87.93,1,1,2,v Zimbabwe,Hambantota,2017-07-06,ODI # 3901,Niroshan Dickwella
116.0,172,118.0,8,0,98.30,1,1,1,v Zimbabwe,Hambantota,2017-07-08,ODI # 3903,Niroshan Dickwella
3.0,4,8.0,0,0,37.50,1,1,1,v Zimbabwe,Hambantota,2017-07-10,ODI # 3904,Niroshan Dickwella
64.0,-,74.0,8,0,86.48,1,1,1,v India,Dambulla,2017-08-20,ODI # 3905,Niroshan Dickwella
31.0,-,24.0,3,2,129.16,1,1,1,v India,Pallekele,2017-08-24,ODI # 3906,Niroshan Dickwella
13.0,-,15.0,2,0,86.66,1,1,1,v India,Pallekele,2017-08-27,ODI # 3907,Niroshan Dickwella
14.0,-,11.0,3,0,127.27,1,1,2,v India,Colombo (RPS),2017-08-31,ODI # 3908,Niroshan Dickwella
2.0,-,6.0,0,0,33.33,1,1,1,v India,Colombo (RPS),2017-09-03,ODI # 3909,Niroshan Dickwella
19.0,-,13.0,3,0,146.15,1,1,2,v Pakistan,Dubai (DSC),2017-10-13,ODI # 3922,Niroshan Dickwella
3.0,-,7.0,0,0,42.85,1,1,2,v Pakistan,Abu Dhabi,2017-10-16,ODI # 3924,Niroshan Dickwella
18.0,-,26.0,2,0,69.23,1,1,1,v Pakistan,Abu Dhabi,2017-10-18,ODI # 3926,Niroshan Dickwella
22.0,-,16.0,3,1,137.50,1,1,1,v Pakistan,Sharjah,2017-10-20,ODI # 3927,Niroshan Dickwella
