Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
3.0,0,10.0,0.0,3.33,7,1,v Scotland,Sharjah,2013-03-06,ODI # 3341,18.0,Rahmat Shah
5.0,0,22.0,0.0,4.4,6,1,v Scotland,Sharjah,2013-03-08,ODI # 3342,30.0,Rahmat Shah
1.5,1,7.0,1.0,3.81,5,1,v Kenya,Sharjah,2013-10-02,ODI # 3417,11.0,Rahmat Shah
2.0,0,14.0,0.0,7.0,6,1,v Kenya,Sharjah,2013-10-04,ODI # 3418,12.0,Rahmat Shah
2.0,0,21.0,0.0,10.5,6,2,v India,Mirpur,2014-03-05,ODI # 3483,12.0,Rahmat Shah
2.0,0,15.0,0.0,7.5,6,1,v Hong Kong,Kuala Lumpur,2014-05-01,ODI # 3487,12.0,Rahmat Shah
5.3,0,32.0,5.0,5.81,7,2,v U.A.E.,Kuala Lumpur,2014-05-02,ODI # 3488,32.0,Rahmat Shah
3.0,0,28.0,0.0,9.33,5,2,v Zimbabwe,Bulawayo,2014-07-20,ODI # 3504,18.0,Rahmat Shah
6.0,0,30.0,0.0,5.0,7,2,v Ireland,Belfast,2016-07-14,ODI # 3762,36.0,Rahmat Shah
6.0,0,30.0,2.0,5.0,5,2,v Ireland,Belfast,2016-07-17,ODI # 3763,36.0,Rahmat Shah
2.0,0,12.0,0.0,6.0,5,1,v Ireland,Belfast,2016-07-19,ODI # 3764,12.0,Rahmat Shah
8.0,0,30.0,1.0,3.75,6,1,v Bangladesh,Mirpur,2016-09-28,ODI # 3783,48.0,Rahmat Shah
8.0,0,59.0,1.0,7.37,6,1,v Bangladesh,Mirpur,2016-10-01,ODI # 3786,48.0,Rahmat Shah
2.0,0,10.0,0.0,5.0,5,2,v Ireland,Greater Noida,2017-03-22,ODI # 3853,12.0,Rahmat Shah
2.0,0,11.0,1.0,5.5,6,2,v Zimbabwe,Sharjah,2018-02-09,ODI # 3972,12.0,Rahmat Shah
3.0,0,34.0,0.0,11.33,6,1,v Zimbabwe,Sharjah,2018-02-11,ODI # 3974,18.0,Rahmat Shah
