Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,1,57.0,2.0,5.7,2,2,v England,Brisbane,2018-01-19,ODI # 3958,60.0,Jhye Richardson
10.0,0,64.0,2.0,6.4,1,1,v England,Cardiff,2018-06-16,ODI # 4010,60.0,Jhye Richardson
10.0,1,92.0,3.0,9.2,2,1,v England,Nottingham,2018-06-19,ODI # 4011,60.0,Jhye Richardson
7.0,0,58.0,0.0,8.28,4,2,v England,Chester-le-Street,2018-06-21,ODI # 4012,42.0,Jhye Richardson
10.0,2,26.0,4.0,2.6,2,2,v India,Sydney,2019-01-12,ODI # 4077,60.0,Jhye Richardson
10.0,0,59.0,1.0,5.9,2,2,v India,Adelaide,2019-01-15,ODI # 4078,60.0,Jhye Richardson
10.0,1,27.0,1.0,2.7,1,2,v India,Melbourne,2019-01-18,ODI # 4079,60.0,Jhye Richardson
9.0,2,37.0,3.0,4.11,2,2,v India,Ranchi,2019-03-08,ODI # 4109,54.0,Jhye Richardson
9.0,0,85.0,3.0,9.44,3,1,v India,Mohali,2019-03-10,ODI # 4111,54.0,Jhye Richardson
10.0,0,47.0,2.0,4.7,2,2,v India,Delhi,2019-03-13,ODI # 4113,60.0,Jhye Richardson
8.0,1,64.0,1.0,8.0,1,1,v Pakistan,Sharjah,2019-03-22,ODI # 4116,48.0,Jhye Richardson
5.0,2,16.0,2.0,3.2,1,1,v Pakistan,Sharjah,2019-03-24,ODI # 4117,30.0,Jhye Richardson
10.0,1,58.0,0.0,5.8,1,2,v South Africa,Potchefstroom,2020-03-07,ODI # 4254,60.0,Jhye Richardson
8.0,0,64.0,1.0,8.0,4,1,v Sri Lanka,Pallekele,2022-06-14,ODI # 4409,48.0,Jhye Richardson
9.0,0,39.0,2.0,4.33,2,2,v Sri Lanka,Colombo (RPS),2022-06-19,ODI # 4415,54.0,Jhye Richardson
3.0,0,28.0,3.0,9.33,3,2,v South Africa,Centurion,2011-10-19,ODI # 3203,18.0,Pat Cummins
10.0,1,73.0,1.0,7.3,3,1,v South Africa,Gqeberha,2011-10-23,ODI # 3208,60.0,Pat Cummins
10.0,0,49.0,1.0,4.9,2,1,v South Africa,Durban,2011-10-28,ODI # 3211,60.0,Pat Cummins
3.0,0,11.0,1.0,3.66,3,1,v Ireland,Belfast,2012-06-23,ODI # 3279,18.0,Pat Cummins
