Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
2.0,0,12.0,1.0,6.0,5,2,v Zimbabwe,Sylhet,2020-03-06,ODI # 4253,12.0,Afif Hossain
1.0,0,11.0,0.0,11.0,7,1,v Zimbabwe,Harare,2021-07-18,ODI # 4306,6.0,Afif Hossain
0.1,0,0.0,1.0,0.0,7,2,v Afghanistan,Chattogram,2022-02-25,ODI # 4358,1.0,Afif Hossain
2.0,0,8.0,0.0,4.0,6,2,v Afghanistan,Chattogram,2022-02-28,ODI # 4359,12.0,Afif Hossain
5.0,0,15.0,1.0,3.0,6,2,v South Africa,Johannesburg,2022-03-20,ODI # 4372,30.0,Afif Hossain
2.0,1,2.0,0.0,1.0,6,1,v West Indies,Providence,2022-07-16,ODI # 4431,12.0,Afif Hossain
0.3,0,6.0,0.0,12.0,6,2,v Zimbabwe,Harare,2022-08-07,ODI # 4442,3.0,Afif Hossain
1.0,0,14.0,0.0,14.0,6,1,v India,Chattogram,2022-12-10,ODI # 4499,6.0,Afif Hossain
8.0,1,38.0,2.0,4.75,3,2,v Zimbabwe,Harare,2022-08-10,ODI # 4443,48.0,Ebadot Hossain
8.2,0,47.0,4.0,5.64,5,1,v India,Mirpur,2022-12-04,ODI # 4493,49.0,Ebadot Hossain
10.0,0,45.0,3.0,4.5,2,2,v India,Mirpur,2022-12-07,ODI # 4496,60.0,Ebadot Hossain
9.0,0,80.0,2.0,8.88,4,1,v India,Chattogram,2022-12-10,ODI # 4499,54.0,Ebadot Hossain
9.0,1,38.0,2.0,4.22,3,2,v England,Chattogram,2023-03-06,ODI # 4531,54.0,Ebadot Hossain
6.5,0,42.0,4.0,6.14,5,2,v Ireland,Sylhet,2023-03-18,ODI # 4539,41.0,Ebadot Hossain
6.0,0,29.0,2.0,4.83,3,1,v Ireland,Sylhet,2023-03-23,ODI # 4547,36.0,Ebadot Hossain
4.3,0,15.0,0.0,3.33,3,2,v Ireland,Chelmsford,2023-05-09,ODI # 4576,26.0,Ebadot Hossain
9.0,1,56.0,1.0,6.22,3,1,v Ireland,Chelmsford,2023-05-12,ODI # 4577,54.0,Ebadot Hossain
10.0,1,53.0,1.0,5.3,3,2,v Ireland,Chelmsford,2023-05-14,ODI # 4578,60.0,Ebadot Hossain
9.2,0,61.0,1.0,6.53,3,1,v Afghanistan,Chattogram,2023-07-08,ODI # 4619,55.0,Ebadot Hossain
6.0,0,17.0,0.0,2.83,4,2,v New Zealand,Dunedin,2021-03-20,ODI # 4279,36.0,Mahedi Hasan
10.0,1,42.0,2.0,4.2,3,2,v New Zealand,Christchurch,2021-03-23,ODI # 4280,60.0,Mahedi Hasan
7.0,0,46.0,0.0,6.57,4,1,v New Zealand,Wellington,2021-03-26,ODI # 4282,42.0,Mahedi Hasan
10.0,0,43.0,2.0,4.3,2,2,v Sri Lanka,Dambulla,2017-03-25,ODI # 3855,60.0,Mehidy Hasan Miraz
10.0,0,50.0,1.0,5.0,2,1,v Sri Lanka,Dambulla,2017-03-28,ODI # 3856,60.0,Mehidy Hasan Miraz
10.0,1,49.0,1.0,4.9,3,1,v Sri Lanka,Colombo (SSC),2017-04-01,ODI # 3858,60.0,Mehidy Hasan Miraz
8.0,0,45.0,0.0,5.62,4,2,v New Zealand,Dublin,2017-05-17,ODI # 3868,48.0,Mehidy Hasan Miraz
1.0,0,4.0,0.0,4.0,4,2,v Australia,The Oval,2017-06-05,ODI # 3879,6.0,Mehidy Hasan Miraz
10.0,0,59.0,2.0,5.9,2,1,v South Africa,East London,2017-10-22,ODI # 3929,60.0,Mehidy Hasan Miraz
10.0,0,53.0,1.0,5.3,1,1,v Sri Lanka,Mirpur,2018-01-27,ODI # 3967,60.0,Mehidy Hasan Miraz
10.0,0,37.0,1.0,3.7,2,2,v West Indies,Providence,2018-07-22,ODI # 4022,60.0,Mehidy Hasan Miraz
10.0,3,40.0,1.0,4.0,2,1,v West Indies,Providence,2018-07-25,ODI # 4023,60.0,Mehidy Hasan Miraz
10.0,0,45.0,1.0,4.5,2,2,v West Indies,Basseterre,2018-07-28,ODI # 4024,60.0,Mehidy Hasan Miraz
7.0,1,21.0,2.0,3.0,3,2,v Sri Lanka,Dubai (DSC),2018-09-15,ODI # 4036,42.0,Mehidy Hasan Miraz
8.0,0,21.0,0.0,2.62,3,1,v Afghanistan,Abu Dhabi,2018-09-20,ODI # 4041,48.0,Mehidy Hasan Miraz
10.0,0,38.0,0.0,3.8,2,2,v India,Dubai (DSC),2018-09-21,ODI # 4042,60.0,Mehidy Hasan Miraz
9.0,1,36.0,0.0,4.0,4,2,v Afghanistan,Abu Dhabi,2018-09-23,ODI # 4045,54.0,Mehidy Hasan Miraz
10.0,1,28.0,2.0,2.8,1,2,v Pakistan,Abu Dhabi,2018-09-26,ODI # 4047,60.0,Mehidy Hasan Miraz
4.0,0,27.0,0.0,6.75,1,2,v India,Dubai (DSC),2018-09-28,ODI # 4048,24.0,Mehidy Hasan Miraz
10.0,0,46.0,3.0,4.6,2,2,v Zimbabwe,Mirpur,2018-10-21,ODI # 4057,60.0,Mehidy Hasan Miraz
7.0,0,45.0,1.0,6.42,4,1,v Zimbabwe,Chattogram,2018-10-24,ODI # 4060,42.0,Mehidy Hasan Miraz
10.0,0,30.0,1.0,3.0,1,1,v West Indies,Mirpur,2018-12-09,ODI # 4071,60.0,Mehidy Hasan Miraz
9.0,0,39.0,1.0,4.33,2,2,v West Indies,Mirpur,2018-12-11,ODI # 4072,54.0,Mehidy Hasan Miraz
10.0,1,29.0,4.0,2.9,2,1,v West Indies,Sylhet,2018-12-14,ODI # 4073,60.0,Mehidy Hasan Miraz
8.0,1,42.0,1.0,5.25,4,2,v New Zealand,Napier,2019-02-13,ODI # 4093,48.0,Mehidy Hasan Miraz
7.1,0,42.0,0.0,5.86,3,2,v New Zealand,Christchurch,2019-02-16,ODI # 4094,42.0,Mehidy Hasan Miraz
9.0,0,43.0,1.0,4.77,5,1,v New Zealand,Dunedin,2019-02-20,ODI # 4095,54.0,Mehidy Hasan Miraz
10.0,0,38.0,1.0,3.8,5,1,v West Indies,Dublin,2019-05-07,ODI # 4129,60.0,Mehidy Hasan Miraz
10.0,0,41.0,1.0,4.1,3,1,v West Indies,Dublin (Malahide),2019-05-13,ODI # 4134,60.0,Mehidy Hasan Miraz
4.0,0,22.0,1.0,5.5,5,1,v West Indies,Dublin (Malahide),2019-05-17,ODI # 4137,24.0,Mehidy Hasan Miraz
10.0,0,44.0,1.0,4.4,2,2,v South Africa,The Oval,2019-06-02,ODI # 4147,60.0,Mehidy Hasan Miraz
10.0,0,47.0,2.0,4.7,2,2,v New Zealand,The Oval,2019-06-05,ODI # 4151,60.0,Mehidy Hasan Miraz
10.0,0,67.0,2.0,6.7,5,1,v England,Cardiff,2019-06-08,ODI # 4153,60.0,Mehidy Hasan Miraz
9.0,0,57.0,0.0,6.33,4,1,v West Indies,Taunton,2019-06-17,ODI # 4162,54.0,Mehidy Hasan Miraz
