Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
6.0,1,25.0,1.0,4.16,5,1,v West Indies,North Sound,2014-02-28,ODI # 3477,36.0,Moeen Ali
3.0,0,11.0,1.0,3.66,3,1,v West Indies,North Sound,2014-03-02,ODI # 3480,18.0,Moeen Ali
1.0,0,5.0,1.0,5.0,3,2,v West Indies,North Sound,2014-03-05,ODI # 3484,6.0,Moeen Ali
7.0,0,40.0,0.0,5.71,5,2,v India,Birmingham,2014-09-02,ODI # 3523,42.0,Moeen Ali
8.0,0,34.0,2.0,4.25,3,2,v India,Leeds,2014-09-05,ODI # 3525,48.0,Moeen Ali
10.0,0,66.0,1.0,6.6,5,1,v Sri Lanka,Colombo (RPS),2014-11-26,ODI # 3554,60.0,Moeen Ali
7.0,0,38.0,1.0,5.42,3,2,v Sri Lanka,Colombo (RPS),2014-11-29,ODI # 3557,42.0,Moeen Ali
7.0,0,36.0,0.0,5.14,3,1,v Sri Lanka,Hambantota,2014-12-03,ODI # 3561,42.0,Moeen Ali
10.0,0,44.0,1.0,4.4,3,2,v Sri Lanka,Colombo (RPS),2014-12-07,ODI # 3563,60.0,Moeen Ali
10.0,0,50.0,0.0,5.0,3,1,v Sri Lanka,Pallekele,2014-12-10,ODI # 3565,60.0,Moeen Ali
8.0,0,46.0,0.0,5.75,3,1,v Sri Lanka,Pallekele,2014-12-13,ODI # 3567,48.0,Moeen Ali
10.0,0,39.0,2.0,3.9,6,1,v Sri Lanka,Colombo (RPS),2014-12-16,ODI # 3569,60.0,Moeen Ali
9.0,0,45.0,1.0,5.0,5,2,v Australia,Sydney,2015-01-16,ODI # 3578,54.0,Moeen Ali
9.0,0,31.0,1.0,3.44,5,1,v India,Brisbane,2015-01-20,ODI # 3586,54.0,Moeen Ali
10.0,0,50.0,2.0,5.0,4,2,v Australia,Hobart,2015-01-23,ODI # 3589,60.0,Moeen Ali
10.0,0,35.0,2.0,3.5,5,1,v India,Perth,2015-01-30,ODI # 3595,60.0,Moeen Ali
10.0,0,39.0,1.0,3.9,5,1,v Australia,Perth,2015-02-01,ODI # 3597,60.0,Moeen Ali
9.0,0,60.0,0.0,6.66,5,1,v Australia,Melbourne,2015-02-14,ODI # 3600,54.0,Moeen Ali
10.0,0,47.0,2.0,4.7,5,2,v Scotland,Christchurch,2015-02-23,ODI # 3611,60.0,Moeen Ali
10.0,0,50.0,1.0,5.0,5,2,v Sri Lanka,Wellington,2015-03-01,ODI # 3619,60.0,Moeen Ali
9.0,0,44.0,1.0,4.88,5,1,v Bangladesh,Adelaide,2015-03-09,ODI # 3630,54.0,Moeen Ali
8.0,0,37.0,0.0,4.62,5,1,v Australia,Southampton,2015-09-03,ODI # 3680,48.0,Moeen Ali
8.0,1,68.0,1.0,8.5,6,1,v Australia,Lord's,2015-09-05,ODI # 3681,48.0,Moeen Ali
10.0,1,32.0,3.0,3.2,5,2,v Australia,Manchester,2015-09-08,ODI # 3682,60.0,Moeen Ali
10.0,0,40.0,2.0,4.0,6,1,v Australia,Leeds,2015-09-11,ODI # 3683,60.0,Moeen Ali
4.0,0,25.0,0.0,6.25,5,2,v Australia,Manchester,2015-09-13,ODI # 3684,24.0,Moeen Ali
7.0,0,32.0,1.0,4.57,5,2,v Pakistan,Abu Dhabi,2015-11-11,ODI # 3707,42.0,Moeen Ali
10.0,0,50.0,1.0,5.0,5,2,v Pakistan,Abu Dhabi,2015-11-13,ODI # 3708,60.0,Moeen Ali
10.0,0,30.0,1.0,3.0,5,1,v Pakistan,Sharjah,2015-11-17,ODI # 3710,60.0,Moeen Ali
9.4,0,53.0,3.0,5.48,4,2,v Pakistan,Dubai (DSC),2015-11-20,ODI # 3712,58.0,Moeen Ali
6.0,0,43.0,3.0,7.16,5,2,v South Africa,Bloemfontein,2016-02-03,ODI # 3732,36.0,Moeen Ali
10.0,1,41.0,0.0,4.1,5,1,v South Africa,Gqeberha,2016-02-06,ODI # 3734,60.0,Moeen Ali
10.0,0,75.0,1.0,7.5,5,2,v South Africa,Centurion,2016-02-09,ODI # 3736,60.0,Moeen Ali
9.0,0,39.0,0.0,4.33,5,2,v South Africa,Johannesburg,2016-02-12,ODI # 3737,54.0,Moeen Ali
8.0,1,37.0,1.0,4.62,6,2,v South Africa,Cape Town,2016-02-14,ODI # 3738,48.0,Moeen Ali
10.0,0,69.0,1.0,6.9,5,1,v Sri Lanka,Nottingham,2016-06-21,ODI # 3751,60.0,Moeen Ali
9.0,0,41.0,0.0,4.55,4,1,v Sri Lanka,Birmingham,2016-06-24,ODI # 3753,54.0,Moeen Ali
8.0,0,58.0,0.0,7.25,5,1,v Sri Lanka,The Oval,2016-06-29,ODI # 3757,48.0,Moeen Ali
7.0,0,30.0,0.0,4.28,5,1,v Pakistan,Southampton,2016-08-24,ODI # 3770,42.0,Moeen Ali
10.0,0,54.0,0.0,5.4,5,1,v Pakistan,Lord's,2016-08-27,ODI # 3771,60.0,Moeen Ali
7.0,0,36.0,1.0,5.14,5,2,v Pakistan,Nottingham,2016-08-30,ODI # 3773,42.0,Moeen Ali
10.0,0,39.0,2.0,3.9,6,1,v Pakistan,Leeds,2016-09-01,ODI # 3775,60.0,Moeen Ali
