Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,1,39.0,1.0,3.9,3,1,v Zimbabwe,Harare,2013-07-24,ODI # 3395,60.0,Jaydev Unadkat
10.0,3,41.0,4.0,4.1,3,2,v Zimbabwe,Harare,2013-07-26,ODI # 3397,60.0,Jaydev Unadkat
7.0,0,24.0,1.0,3.42,3,1,v Zimbabwe,Harare,2013-07-28,ODI # 3399,42.0,Jaydev Unadkat
7.0,0,27.0,1.0,3.85,3,1,v Zimbabwe,Bulawayo,2013-08-01,ODI # 3402,42.0,Jaydev Unadkat
6.0,1,8.0,1.0,1.33,2,1,v Zimbabwe,Bulawayo,2013-08-03,ODI # 3403,36.0,Jaydev Unadkat
6.0,0,31.0,0.0,5.16,1,1,v Australia,Ranchi,2013-10-23,ODI # 3422,36.0,Jaydev Unadkat
6.0,0,39.0,0.0,6.5,2,1,v West Indies,Kochi,2013-11-21,ODI # 3436,36.0,Jaydev Unadkat
10.0,0,66.0,2.0,6.6,4,2,v New Zealand,Auckland,2022-11-25,ODI # 4483,60.0,Umran Malik
5.0,0,31.0,1.0,6.2,3,2,v New Zealand,Christchurch,2022-11-30,ODI # 4489,30.0,Umran Malik
10.0,2,58.0,2.0,5.8,4,1,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,60.0,Umran Malik
8.0,0,43.0,2.0,5.37,4,2,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,48.0,Umran Malik
8.0,0,57.0,3.0,7.12,4,2,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,48.0,Umran Malik
7.0,0,48.0,2.0,6.85,4,1,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,42.0,Umran Malik
7.0,0,52.0,1.0,7.42,4,2,v New Zealand,Indore,2023-01-24,ODI # 4511,42.0,Umran Malik
7.0,0,26.0,1.0,3.71,1,2,v Sri Lanka,Colombo (RPS),2017-08-31,ODI # 3908,42.0,Shardul Thakur
6.0,0,48.0,0.0,8.0,2,1,v Sri Lanka,Colombo (RPS),2017-09-03,ODI # 3909,36.0,Shardul Thakur
8.5,0,52.0,4.0,5.88,1,1,v South Africa,Centurion,2018-02-16,ODI # 3978,53.0,Shardul Thakur
10.0,0,51.0,1.0,5.1,3,2,v England,Leeds,2018-07-17,ODI # 4018,60.0,Shardul Thakur
4.0,0,41.0,0.0,10.25,3,2,v Hong Kong,Dubai (DSC),2018-09-18,ODI # 4039,24.0,Shardul Thakur
8.0,0,55.0,1.0,6.87,2,2,v West Indies,Visakhapatnam,2019-12-18,ODI # 4222,48.0,Shardul Thakur
10.0,0,66.0,1.0,6.6,1,1,v West Indies,Cuttack,2019-12-22,ODI # 4223,60.0,Shardul Thakur
5.0,0,43.0,0.0,8.6,3,2,v Australia,Wankhede,2020-01-14,ODI # 4231,30.0,Shardul Thakur
9.0,0,80.0,1.0,8.88,3,2,v New Zealand,Hamilton,2020-02-05,ODI # 4235,54.0,Shardul Thakur
10.0,1,60.0,2.0,6.0,1,1,v New Zealand,Auckland,2020-02-08,ODI # 4239,60.0,Shardul Thakur
9.1,0,87.0,1.0,9.49,4,2,v New Zealand,Mount Maunganui,2020-02-11,ODI # 4243,54.0,Shardul Thakur
10.0,1,51.0,3.0,5.1,3,2,v Australia,Canberra,2020-12-02,ODI # 4267,60.0,Shardul Thakur
6.0,0,37.0,3.0,6.16,3,2,v England,Pune,2021-03-23,ODI # 4281,36.0,Shardul Thakur
7.3,0,54.0,0.0,7.2,3,2,v England,Pune,2021-03-26,ODI # 4283,44.0,Shardul Thakur
10.0,0,67.0,4.0,6.7,4,2,v England,Pune,2021-03-28,ODI # 4284,60.0,Shardul Thakur
10.0,1,72.0,0.0,7.2,3,1,v South Africa,Paarl,2022-01-19,ODI # 4344,60.0,Shardul Thakur
5.0,0,35.0,1.0,7.0,5,2,v South Africa,Paarl,2022-01-21,ODI # 4346,30.0,Shardul Thakur
7.0,0,38.0,0.0,5.42,4,1,v West Indies,Ahmedabad,2022-02-06,ODI # 4353,42.0,Shardul Thakur
9.0,1,41.0,2.0,4.55,2,2,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,54.0,Shardul Thakur
8.0,0,54.0,2.0,6.75,3,2,v West Indies,Port of Spain,2022-07-22,ODI # 4436,48.0,Shardul Thakur
7.0,0,54.0,3.0,7.71,3,1,v West Indies,Port of Spain,2022-07-24,ODI # 4438,42.0,Shardul Thakur
5.0,0,17.0,2.0,3.4,6,2,v West Indies,Port of Spain,2022-07-27,ODI # 4439,30.0,Shardul Thakur
7.0,0,38.0,3.0,5.42,3,1,v Zimbabwe,Harare,2022-08-20,ODI # 4454,42.0,Shardul Thakur
9.0,0,55.0,1.0,6.11,3,2,v Zimbabwe,Harare,2022-08-22,ODI # 4457,54.0,Shardul Thakur
8.0,1,35.0,2.0,4.37,3,1,v South Africa,Lucknow,2022-10-06,ODI # 4470,48.0,Shardul Thakur
5.0,0,36.0,1.0,7.2,6,1,v South Africa,Ranchi,2022-10-09,ODI # 4471,30.0,Shardul Thakur
2.0,0,8.0,0.0,4.0,5,1,v South Africa,Delhi,2022-10-11,ODI # 4472,12.0,Shardul Thakur
9.0,1,63.0,1.0,7.0,2,2,v New Zealand,Auckland,2022-11-25,ODI # 4483,54.0,Shardul Thakur
9.0,1,21.0,1.0,2.33,6,2,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,54.0,Shardul Thakur
10.0,1,47.0,0.0,4.7,3,1,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,60.0,Shardul Thakur
5.0,0,30.0,3.0,6.0,2,2,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,30.0,Shardul Thakur
7.2,0,54.0,2.0,7.36,5,2,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,44.0,Shardul Thakur
6.0,1,26.0,1.0,4.33,3,1,v New Zealand,Raipur,2023-01-21,ODI # 4509,36.0,Shardul Thakur
6.0,0,45.0,3.0,7.5,3,2,v New Zealand,Indore,2023-01-24,ODI # 4511,36.0,Shardul Thakur
2.0,0,12.0,0.0,6.0,4,1,v Australia,Wankhede,2023-03-17,ODI # 4538,12.0,Shardul Thakur
10.0,0,59.0,1.0,5.9,4,1,v Bangladesh,Mirpur,2014-06-15,ODI # 3497,60.0,Axar Patel
10.0,1,26.0,2.0,2.6,5,2,v West Indies,Dharamsala,2014-10-17,ODI # 3535,60.0,Axar Patel
6.0,0,24.0,2.0,4.0,6,2,v Sri Lanka,Cuttack,2014-11-02,ODI # 3539,36.0,Axar Patel
10.0,1,39.0,2.0,3.9,4,1,v Sri Lanka,Ahmedabad,2014-11-06,ODI # 3540,60.0,Axar Patel
10.0,1,40.0,3.0,4.0,4,1,v Sri Lanka,Hyderabad,2014-11-09,ODI # 3543,60.0,Axar Patel
7.1,0,51.0,2.0,7.11,5,2,v Sri Lanka,Eden Gardens,2014-11-13,ODI # 3544,42.0,Axar Patel
10.0,0,45.0,2.0,4.5,3,1,v Sri Lanka,Ranchi,2014-11-16,ODI # 3547,60.0,Axar Patel
10.0,0,45.0,1.0,4.5,4,2,v Australia,Melbourne,2015-01-18,ODI # 3582,60.0,Axar Patel
7.3,0,32.0,0.0,4.26,5,2,v England,Brisbane,2015-01-20,ODI # 3586,44.0,Axar Patel
10.0,1,39.0,1.0,3.9,4,2,v England,Perth,2015-01-30,ODI # 3595,60.0,Axar Patel
7.0,0,48.0,1.0,6.85,5,2,v Bangladesh,Mirpur,2015-06-21,ODI # 3660,42.0,Axar Patel
9.0,1,44.0,1.0,4.88,5,2,v Bangladesh,Mirpur,2015-06-24,ODI # 3661,54.0,Axar Patel
10.0,1,41.0,2.0,4.1,5,2,v Zimbabwe,Harare,2015-07-10,ODI # 3662,60.0,Axar Patel
10.0,1,40.0,1.0,4.0,5,2,v Zimbabwe,Harare,2015-07-12,ODI # 3665,60.0,Axar Patel
6.4,0,39.0,2.0,5.85,5,2,v Zimbabwe,Harare,2015-07-14,ODI # 3667,40.0,Axar Patel
10.0,0,39.0,3.0,3.9,4,2,v South Africa,Indore,2015-10-14,ODI # 3692,60.0,Axar Patel
9.0,0,51.0,1.0,5.66,5,1,v South Africa,Rajkot,2015-10-18,ODI # 3695,54.0,Axar Patel
10.0,0,40.0,1.0,4.0,4,2,v South Africa,Chennai,2015-10-22,ODI # 3698,60.0,Axar Patel
8.0,0,65.0,0.0,8.12,4,1,v South Africa,Wankhede,2015-10-25,ODI # 3700,48.0,Axar Patel
10.0,1,26.0,1.0,2.6,4,1,v Zimbabwe,Harare,2016-06-11,ODI # 3742,60.0,Axar Patel
7.3,0,22.0,1.0,2.93,4,1,v Zimbabwe,Harare,2016-06-13,ODI # 3744,44.0,Axar Patel
10.0,2,16.0,1.0,1.6,4,1,v Zimbabwe,Harare,2016-06-15,ODI # 3746,60.0,Axar Patel
9.0,1,41.0,0.0,4.55,5,1,v New Zealand,Dharamsala,2016-10-16,ODI # 3796,54.0,Axar Patel
10.0,0,49.0,1.0,4.9,4,1,v New Zealand,Delhi,2016-10-20,ODI # 3797,60.0,Axar Patel
10.0,0,49.0,0.0,4.9,5,1,v New Zealand,Mohali,2016-10-23,ODI # 3798,60.0,Axar Patel
10.0,0,38.0,1.0,3.8,5,1,v New Zealand,Ranchi,2016-10-26,ODI # 3799,60.0,Axar Patel
4.1,0,9.0,2.0,2.16,3,2,v New Zealand,Visakhapatnam,2016-10-29,ODI # 3800,24.0,Axar Patel
10.0,0,34.0,3.0,3.4,6,1,v Sri Lanka,Dambulla,2017-08-20,ODI # 3905,60.0,Axar Patel
10.0,0,30.0,1.0,3.0,5,1,v Sri Lanka,Pallekele,2017-08-24,ODI # 3906,60.0,Axar Patel
10.0,1,35.0,1.0,3.5,5,1,v Sri Lanka,Pallekele,2017-08-27,ODI # 3907,60.0,Axar Patel
10.0,0,55.0,1.0,5.5,6,2,v Sri Lanka,Colombo (RPS),2017-08-31,ODI # 3908,60.0,Axar Patel
10.0,0,66.0,0.0,6.6,3,1,v Australia,Bengaluru,2017-09-28,ODI # 3917,60.0,Axar Patel
10.0,0,38.0,3.0,3.8,6,1,v Australia,Nagpur,2017-10-01,ODI # 3919,60.0,Axar Patel
10.0,1,54.0,1.0,5.4,5,1,v New Zealand,Pune,2017-10-25,ODI # 3931,60.0,Axar Patel
7.0,0,40.0,0.0,5.71,4,2,v New Zealand,Kanpur,2017-10-29,ODI # 3932,42.0,Axar Patel
