Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
1.1,0,11.0,0.0,9.42,7,2,v Scotland,Rotterdam,2021-05-20,ODI # 4289,7.0,Max O'Dowd
4.0,0,8.0,0.0,2.0,6,2,v Ireland,Utrecht,2021-06-04,ODI # 4294,24.0,Max O'Dowd
2.0,0,20.0,0.0,10.0,6,1,v Ireland,Utrecht,2021-06-07,ODI # 4295,12.0,Max O'Dowd
7.0,1,25.0,1.0,3.57,1,2,v Scotland,Rotterdam,2021-05-19,ODI # 4288,42.0,Logan van Beek
9.0,0,32.0,0.0,3.55,1,2,v Scotland,Rotterdam,2021-05-20,ODI # 4289,54.0,Logan van Beek
10.0,1,44.0,2.0,4.4,2,2,v Ireland,Utrecht,2021-06-02,ODI # 4293,60.0,Logan van Beek
7.0,0,34.0,1.0,4.85,2,2,v Ireland,Utrecht,2021-06-04,ODI # 4294,42.0,Logan van Beek
9.2,0,29.0,3.0,3.1,4,1,v Ireland,Utrecht,2021-06-07,ODI # 4295,55.0,Logan van Beek
6.0,0,34.0,1.0,5.66,2,2,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,36.0,Logan van Beek
10.0,2,56.0,4.0,5.6,2,1,v New Zealand,Hamilton,2022-04-02,ODI # 4381,60.0,Logan van Beek
9.0,0,58.0,2.0,6.44,2,1,v New Zealand,Hamilton,2022-04-04,ODI # 4383,54.0,Logan van Beek
8.0,1,49.0,2.0,6.12,1,2,v West Indies,Amstelveen,2022-05-31,ODI # 4392,48.0,Logan van Beek
10.0,0,39.0,1.0,3.9,2,2,v West Indies,Amstelveen,2022-06-02,ODI # 4395,60.0,Logan van Beek
10.0,1,58.0,1.0,5.8,1,1,v West Indies,Amstelveen,2022-06-04,ODI # 4398,60.0,Logan van Beek
10.0,0,82.0,1.0,8.2,1,1,v England,Amstelveen,2022-06-17,ODI # 4413,60.0,Logan van Beek
6.0,1,26.0,0.0,4.33,1,2,v England,Amstelveen,2022-06-19,ODI # 4414,36.0,Logan van Beek
6.0,0,48.0,0.0,8.0,2,2,v England,Amstelveen,2022-06-22,ODI # 4417,36.0,Logan van Beek
10.0,0,89.0,2.0,8.9,4,1,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,60.0,Logan van Beek
6.0,0,38.0,0.0,6.33,3,2,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,36.0,Logan van Beek
9.0,1,33.0,1.0,3.66,6,1,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,54.0,Logan van Beek
6.5,1,48.0,0.0,7.02,2,2,v Zimbabwe,Harare,2023-06-20,ODI # 4589,41.0,Logan van Beek
9.0,2,43.0,1.0,4.77,1,1,v U.S.A.,Harare,2023-06-22,ODI # 4594,54.0,Logan van Beek
9.3,1,24.0,4.0,2.52,1,1,v Nepal,Harare,2023-06-24,ODI # 4598,57.0,Logan van Beek
10.0,0,77.0,1.0,7.7,1,1,v West Indies,Harare,2023-06-26,ODI # 4602,60.0,Logan van Beek
9.0,2,26.0,3.0,2.88,1,1,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,54.0,Logan van Beek
8.0,0,55.0,0.0,6.87,1,2,v Oman,Harare,2023-07-03,ODI # 4611,48.0,Logan van Beek
10.0,0,49.0,1.0,4.9,1,1,v Scotland,Bulawayo,2023-07-06,ODI # 4616,60.0,Logan van Beek
10.0,0,40.0,2.0,4.0,1,1,v Sri Lanka,Harare,2023-07-09,ODI # 4620,60.0,Logan van Beek
5.0,1,11.0,1.0,2.2,4,1,v Zimbabwe,Harare,2023-03-21,ODI # 4543,30.0,Vikramjit Singh
3.0,0,29.0,0.0,9.66,6,1,v South Africa,Johannesburg,2023-04-02,ODI # 4563,18.0,Vikramjit Singh
5.0,0,33.0,1.0,6.6,4,2,v Zimbabwe,Harare,2023-06-20,ODI # 4589,30.0,Vikramjit Singh
3.0,0,19.0,1.0,6.33,6,1,v U.S.A.,Harare,2023-06-22,ODI # 4594,18.0,Vikramjit Singh
4.0,0,20.0,2.0,5.0,4,1,v Nepal,Harare,2023-06-24,ODI # 4598,24.0,Vikramjit Singh
1.0,0,11.0,0.0,11.0,6,1,v West Indies,Harare,2023-06-26,ODI # 4602,6.0,Vikramjit Singh
1.0,0,16.0,0.0,16.0,7,2,v Oman,Harare,2023-07-03,ODI # 4611,6.0,Vikramjit Singh
3.0,0,18.0,0.0,6.0,7,1,v Scotland,Bulawayo,2023-07-06,ODI # 4616,18.0,Vikramjit Singh
4.0,0,12.0,2.0,3.0,4,1,v Sri Lanka,Harare,2023-07-09,ODI # 4620,24.0,Vikramjit Singh
2.0,0,10.0,1.0,5.0,5,2,v Scotland,Rotterdam,2021-05-19,ODI # 4288,12.0,Aryan Dutt
6.0,1,12.0,0.0,2.0,4,2,v Scotland,Rotterdam,2021-05-20,ODI # 4289,36.0,Aryan Dutt
6.0,0,29.0,1.0,4.83,7,1,v Afghanistan,Doha,2022-01-25,ODI # 4350,36.0,Aryan Dutt
3.0,0,16.0,0.0,5.33,6,1,v New Zealand,Hamilton,2022-04-02,ODI # 4381,18.0,Aryan Dutt
6.0,0,49.0,2.0,8.16,7,1,v New Zealand,Hamilton,2022-04-04,ODI # 4383,36.0,Aryan Dutt
8.0,0,46.0,1.0,5.75,5,2,v West Indies,Amstelveen,2022-05-31,ODI # 4392,48.0,Aryan Dutt
7.3,1,33.0,1.0,4.4,4,2,v West Indies,Amstelveen,2022-06-02,ODI # 4395,44.0,Aryan Dutt
10.0,1,44.0,1.0,4.4,5,1,v West Indies,Amstelveen,2022-06-04,ODI # 4398,60.0,Aryan Dutt
6.0,0,55.0,0.0,9.16,6,1,v England,Amstelveen,2022-06-17,ODI # 4413,36.0,Aryan Dutt
9.0,1,55.0,2.0,6.11,6,2,v England,Amstelveen,2022-06-19,ODI # 4414,54.0,Aryan Dutt
2.0,0,22.0,0.0,11.0,5,2,v England,Amstelveen,2022-06-22,ODI # 4417,12.0,Aryan Dutt
9.0,1,44.0,0.0,4.88,1,1,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,54.0,Aryan Dutt
8.0,0,37.0,1.0,4.62,1,2,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,48.0,Aryan Dutt
10.0,1,34.0,1.0,3.4,1,1,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,60.0,Aryan Dutt
10.0,0,31.0,0.0,3.1,4,2,v Zimbabwe,Harare,2023-03-25,ODI # 4549,60.0,Aryan Dutt
6.0,1,30.0,1.0,5.0,2,2,v South Africa,Benoni,2023-03-31,ODI # 4558,36.0,Aryan Dutt
9.0,0,74.0,1.0,8.22,5,1,v South Africa,Johannesburg,2023-04-02,ODI # 4563,54.0,Aryan Dutt
9.0,1,61.0,0.0,6.77,1,2,v Zimbabwe,Harare,2023-06-20,ODI # 4589,54.0,Aryan Dutt
9.0,0,46.0,1.0,5.11,3,1,v U.S.A.,Harare,2023-06-22,ODI # 4594,54.0,Aryan Dutt
8.0,2,23.0,1.0,2.87,6,1,v Nepal,Harare,2023-06-24,ODI # 4598,48.0,Aryan Dutt
10.0,1,71.0,0.0,7.1,3,1,v West Indies,Harare,2023-06-26,ODI # 4602,60.0,Aryan Dutt
8.0,0,34.0,1.0,4.25,4,1,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,48.0,Aryan Dutt
10.0,0,31.0,3.0,3.1,4,2,v Oman,Harare,2023-07-03,ODI # 4611,60.0,Aryan Dutt
5.0,0,27.0,0.0,5.4,5,1,v Scotland,Bulawayo,2023-07-06,ODI # 4616,30.0,Aryan Dutt
9.5,0,51.0,1.0,5.18,3,1,v Sri Lanka,Harare,2023-07-09,ODI # 4620,59.0,Aryan Dutt
2.0,0,11.0,0.0,5.5,3,1,v Canada,Mount Maunganui,2014-01-28,ODI # 3464,12.0,Vivian Kingma
9.0,1,47.0,1.0,5.22,2,1,v Zimbabwe,Deventer,2019-06-19,ODI # 4164,54.0,Vivian Kingma
10.0,0,49.0,1.0,4.9,2,1,v Zimbabwe,Deventer,2019-06-21,ODI # 4167,60.0,Vivian Kingma
7.0,1,21.0,3.0,3.0,2,2,v Scotland,Rotterdam,2021-05-19,ODI # 4288,42.0,Vivian Kingma
8.0,0,23.0,2.0,2.87,2,2,v Scotland,Rotterdam,2021-05-20,ODI # 4289,48.0,Vivian Kingma
9.0,1,40.0,1.0,4.44,2,1,v Ireland,Utrecht,2021-06-07,ODI # 4295,54.0,Vivian Kingma
9.0,0,49.0,2.0,5.44,2,1,v South Africa,Centurion,2021-11-26,ODI # 4337,54.0,Vivian Kingma
6.0,0,26.0,1.0,4.33,1,1,v Afghanistan,Doha,2022-01-21,ODI # 4345,36.0,Vivian Kingma
10.0,0,42.0,0.0,4.2,1,1,v Afghanistan,Doha,2022-01-23,ODI # 4348,60.0,Vivian Kingma
10.0,0,50.0,1.0,5.0,1,1,v Afghanistan,Doha,2022-01-25,ODI # 4350,60.0,Vivian Kingma
7.0,0,47.0,0.0,6.71,2,2,v West Indies,Amstelveen,2022-05-31,ODI # 4392,42.0,Vivian Kingma
9.0,0,66.0,1.0,7.33,2,1,v West Indies,Amstelveen,2022-06-04,ODI # 4398,54.0,Vivian Kingma
2.0,0,16.0,0.0,8.0,2,2,v England,Amstelveen,2022-06-19,ODI # 4414,12.0,Vivian Kingma
9.0,2,61.0,1.0,6.77,2,1,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,54.0,Vivian Kingma
4.4,1,32.0,2.0,6.85,2,2,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,28.0,Vivian Kingma
5.4,1,15.0,2.0,2.64,2,1,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,34.0,Vivian Kingma
10.0,0,80.0,2.0,8.0,2,1,v South Africa,Johannesburg,2023-04-02,ODI # 4563,60.0,Vivian Kingma
10.0,0,66.0,1.0,6.6,2,1,v West Indies,Harare,2023-06-26,ODI # 4602,60.0,Vivian Kingma
1.5,0,3.0,1.0,1.63,7,2,v Nepal,Amstelveen,2018-08-01,ODI # 4026,11.0,Bas de Leede
2.0,0,12.0,0.0,6.0,6,1,v Nepal,Amstelveen,2018-08-03,ODI # 4028,12.0,Bas de Leede
3.0,0,14.0,0.0,4.66,6,2,v Scotland,Rotterdam,2021-05-19,ODI # 4288,18.0,Bas de Leede
1.0,0,4.0,0.0,4.0,7,2,v Ireland,Utrecht,2021-06-02,ODI # 4293,6.0,Bas de Leede
3.0,0,5.0,0.0,1.66,3,1,v Afghanistan,Doha,2022-01-21,ODI # 4345,18.0,Bas de Leede
2.0,0,17.0,0.0,8.5,3,2,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,12.0,Bas de Leede
6.0,0,37.0,0.0,6.16,4,1,v New Zealand,Hamilton,2022-04-04,ODI # 4383,36.0,Bas de Leede
4.0,0,32.0,0.0,8.0,6,2,v West Indies,Amstelveen,2022-05-31,ODI # 4392,24.0,Bas de Leede
8.0,0,46.0,2.0,5.75,3,2,v West Indies,Amstelveen,2022-06-02,ODI # 4395,48.0,Bas de Leede
5.0,1,34.0,1.0,6.8,4,1,v West Indies,Amstelveen,2022-06-04,ODI # 4398,30.0,Bas de Leede
5.0,0,65.0,0.0,13.0,4,1,v England,Amstelveen,2022-06-17,ODI # 4413,30.0,Bas de Leede
3.0,0,27.0,0.0,9.0,5,2,v England,Amstelveen,2022-06-19,ODI # 4414,18.0,Bas de Leede
2.0,0,22.0,0.0,11.0,6,2,v England,Amstelveen,2022-06-22,ODI # 4417,12.0,Bas de Leede
10.0,0,42.0,2.0,4.2,5,1,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,60.0,Bas de Leede
6.0,0,28.0,0.0,4.66,5,2,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,36.0,Bas de Leede
9.0,0,50.0,3.0,5.55,3,1,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,54.0,Bas de Leede
6.0,0,51.0,1.0,8.5,3,2,v Zimbabwe,Harare,2023-06-20,ODI # 4589,36.0,Bas de Leede
10.0,1,37.0,2.0,3.7,4,1,v U.S.A.,Harare,2023-06-22,ODI # 4594,60.0,Bas de Leede
8.0,0,31.0,2.0,3.87,3,1,v Nepal,Harare,2023-06-24,ODI # 4598,48.0,Bas de Leede
