Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
8.0,1,22.0,1.0,2.75,5,1,v Netherlands,Mount Maunganui,2022-03-29,ODI # 4378,48.0,Michael Bracewell
5.0,0,21.0,3.0,4.2,6,2,v Netherlands,Hamilton,2022-04-02,ODI # 4381,30.0,Michael Bracewell
6.0,0,53.0,1.0,8.83,4,2,v Netherlands,Hamilton,2022-04-04,ODI # 4383,36.0,Michael Bracewell
8.0,0,42.0,0.0,5.25,5,1,v Ireland,Dublin (Malahide),2022-07-10,ODI # 4419,48.0,Michael Bracewell
10.0,1,26.0,2.0,2.6,4,1,v Ireland,Dublin (Malahide),2022-07-12,ODI # 4423,60.0,Michael Bracewell
7.0,0,51.0,0.0,7.28,4,2,v Ireland,Dublin (Malahide),2022-07-15,ODI # 4429,42.0,Michael Bracewell
10.0,2,43.0,3.0,4.3,4,1,v Scotland,Edinburgh,2022-07-31,ODI # 4440,60.0,Michael Bracewell
4.0,0,21.0,0.0,5.25,5,2,v West Indies,Bridgetown,2022-08-17,ODI # 4450,24.0,Michael Bracewell
7.0,0,33.0,0.0,4.71,4,2,v West Indies,Bridgetown,2022-08-19,ODI # 4453,42.0,Michael Bracewell
6.0,0,43.0,0.0,7.16,3,1,v West Indies,Bridgetown,2022-08-21,ODI # 4456,36.0,Michael Bracewell
3.0,0,16.0,0.0,5.33,4,2,v Australia,Cairns,2022-09-06,ODI # 4461,18.0,Michael Bracewell
3.0,0,21.0,0.0,7.0,6,1,v Australia,Cairns,2022-09-08,ODI # 4462,18.0,Michael Bracewell
2.0,0,18.0,0.0,9.0,4,1,v India,Hamilton,2022-11-27,ODI # 4487,12.0,Michael Bracewell
10.0,0,44.0,2.0,4.4,3,2,v Pakistan,Karachi,2023-01-09,ODI # 4500,60.0,Michael Bracewell
10.0,0,29.0,1.0,2.9,4,2,v Pakistan,Karachi,2023-01-11,ODI # 4502,60.0,Michael Bracewell
10.0,0,44.0,1.0,4.4,4,1,v Pakistan,Karachi,2023-01-13,ODI # 4504,60.0,Michael Bracewell
6.0,0,43.0,0.0,7.16,5,1,v India,Hyderabad,2023-01-18,ODI # 4507,36.0,Michael Bracewell
2.0,0,13.0,0.0,6.5,5,2,v India,Raipur,2023-01-21,ODI # 4509,12.0,Michael Bracewell
6.0,0,51.0,1.0,8.5,6,1,v India,Indore,2023-01-24,ODI # 4511,36.0,Michael Bracewell
9.0,0,73.0,1.0,8.11,3,1,v Australia,Sydney,2016-12-04,ODI # 3811,54.0,Lockie Ferguson
8.0,0,50.0,0.0,6.25,3,1,v Australia,Melbourne,2016-12-09,ODI # 3813,48.0,Lockie Ferguson
9.0,0,54.0,3.0,6.0,3,2,v Bangladesh,Christchurch,2016-12-26,ODI # 3814,54.0,Lockie Ferguson
8.0,0,53.0,1.0,6.62,4,2,v Bangladesh,Nelson,2016-12-29,ODI # 3815,48.0,Lockie Ferguson
10.0,0,44.0,2.0,4.4,3,2,v Australia,Auckland,2017-01-30,ODI # 3829,60.0,Lockie Ferguson
9.0,1,62.0,0.0,6.88,3,2,v Australia,Hamilton,2017-02-05,ODI # 3832,54.0,Lockie Ferguson
