Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
6.0,0,31.0,1.0,5.16,6,1,v England,Abu Dhabi,2015-11-13,ODI # 3708,36.0,Iftikhar Ahmed
4.0,0,18.0,0.0,4.5,5,2,v England,Sharjah,2015-11-17,ODI # 3710,24.0,Iftikhar Ahmed
4.0,1,9.0,0.0,2.25,6,2,v Sri Lanka,Karachi,2019-09-30,ODI # 4211,24.0,Iftikhar Ahmed
9.0,1,43.0,0.0,4.77,3,1,v Sri Lanka,Karachi,2019-10-02,ODI # 4212,54.0,Iftikhar Ahmed
10.0,2,40.0,5.0,4.0,6,1,v Zimbabwe,Rawalpindi,2020-11-01,ODI # 4263,60.0,Iftikhar Ahmed
10.0,0,60.0,0.0,6.0,5,1,v Zimbabwe,Rawalpindi,2020-11-03,ODI # 4264,60.0,Iftikhar Ahmed
6.0,0,36.0,1.0,6.0,5,1,v Australia,Lahore,2022-03-29,ODI # 4379,36.0,Iftikhar Ahmed
4.0,0,38.0,0.0,9.5,5,1,v Australia,Lahore,2022-03-31,ODI # 4380,24.0,Iftikhar Ahmed
7.0,0,38.0,1.0,5.42,5,1,v Australia,Lahore,2022-04-02,ODI # 4382,42.0,Iftikhar Ahmed
2.0,0,21.0,0.0,10.5,6,2,v New Zealand,Karachi,2023-05-05,ODI # 4574,12.0,Iftikhar Ahmed
9.0,0,52.0,2.0,5.77,6,2,v West Indies,Providence,2017-04-07,ODI # 3861,54.0,Shadab Khan
10.0,1,40.0,1.0,4.0,6,2,v West Indies,Providence,2017-04-09,ODI # 3862,60.0,Shadab Khan
8.0,0,57.0,2.0,7.12,6,1,v West Indies,Providence,2017-04-11,ODI # 3863,48.0,Shadab Khan
10.0,0,52.0,1.0,5.2,5,1,v India,Birmingham,2017-06-04,ODI # 3878,60.0,Shadab Khan
5.0,0,20.0,0.0,4.0,6,1,v South Africa,Birmingham,2017-06-07,ODI # 3881,30.0,Shadab Khan
9.0,0,40.0,1.0,4.44,4,1,v England,Cardiff,2017-06-14,ODI # 3889,54.0,Shadab Khan
7.0,0,60.0,2.0,8.57,5,2,v India,The Oval,2017-06-18,ODI # 3894,42.0,Shadab Khan
7.0,0,26.0,1.0,3.71,6,2,v Sri Lanka,Dubai (DSC),2017-10-13,ODI # 3922,42.0,Shadab Khan
9.0,1,47.0,3.0,5.22,7,2,v Sri Lanka,Abu Dhabi,2017-10-16,ODI # 3924,54.0,Shadab Khan
10.0,0,37.0,2.0,3.7,6,1,v Sri Lanka,Abu Dhabi,2017-10-18,ODI # 3926,60.0,Shadab Khan
8.0,0,29.0,2.0,3.62,6,1,v Sri Lanka,Sharjah,2017-10-20,ODI # 3927,48.0,Shadab Khan
5.0,1,24.0,2.0,4.8,5,1,v Sri Lanka,Sharjah,2017-10-23,ODI # 3930,30.0,Shadab Khan
9.0,0,49.0,0.0,5.44,4,1,v New Zealand,Wellington,2018-01-06,ODI # 3946,54.0,Shadab Khan
4.0,0,29.0,0.0,7.25,5,2,v New Zealand,Nelson,2018-01-09,ODI # 3947,24.0,Shadab Khan
10.0,0,51.0,2.0,5.1,5,1,v New Zealand,Dunedin,2018-01-13,ODI # 3949,60.0,Shadab Khan
10.0,0,42.0,3.0,4.2,5,2,v New Zealand,Hamilton,2018-01-16,ODI # 3953,60.0,Shadab Khan
10.0,0,35.0,0.0,3.5,5,1,v New Zealand,Wellington,2018-01-19,ODI # 3957,60.0,Shadab Khan
9.0,0,32.0,4.0,3.55,5,2,v Zimbabwe,Bulawayo,2018-07-13,ODI # 4015,54.0,Shadab Khan
10.0,0,47.0,0.0,4.7,5,1,v Zimbabwe,Bulawayo,2018-07-16,ODI # 4017,60.0,Shadab Khan
1.0,0,6.0,1.0,6.0,5,1,v Zimbabwe,Bulawayo,2018-07-18,ODI # 4019,6.0,Shadab Khan
8.4,0,28.0,4.0,3.23,5,2,v Zimbabwe,Bulawayo,2018-07-20,ODI # 4020,52.0,Shadab Khan
10.0,0,42.0,0.0,4.2,5,2,v Zimbabwe,Bulawayo,2018-07-22,ODI # 4021,60.0,Shadab Khan
8.0,1,31.0,2.0,3.87,5,1,v Hong Kong,Dubai (DSC),2018-09-16,ODI # 4037,48.0,Shadab Khan
