Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
6.1,0,22.0,0.0,3.56,4,1,v Bangladesh,Johannesburg,2022-03-20,ODI # 4372,36.0,Temba Bavuma
3.0,0,18.0,2.0,6.0,6,2,v Bangladesh,East London,2017-10-22,ODI # 3929,18.0,Aiden Markram
2.0,0,20.0,0.0,10.0,7,2,v India,Durban,2018-02-01,ODI # 3969,12.0,Aiden Markram
3.0,0,18.0,0.0,6.0,6,2,v Australia,Hobart,2018-11-11,ODI # 4069,18.0,Aiden Markram
3.0,0,16.0,0.0,5.33,7,1,v England,The Oval,2019-05-30,ODI # 4143,18.0,Aiden Markram
5.0,0,38.0,0.0,7.6,5,1,v Bangladesh,The Oval,2019-06-02,ODI # 4147,30.0,Aiden Markram
4.0,0,22.0,1.0,5.5,6,1,v Pakistan,Lord's,2019-06-23,ODI # 4171,24.0,Aiden Markram
4.0,0,16.0,0.0,4.0,6,2,v Pakistan,Johannesburg,2021-04-04,ODI # 4286,24.0,Aiden Markram
10.0,0,48.0,2.0,4.8,1,1,v Pakistan,Centurion,2021-04-07,ODI # 4287,60.0,Aiden Markram
6.0,0,33.0,1.0,5.5,4,1,v Sri Lanka,Colombo (RPS),2021-09-02,ODI # 4314,36.0,Aiden Markram
10.0,0,41.0,1.0,4.1,4,1,v Sri Lanka,Colombo (RPS),2021-09-07,ODI # 4318,60.0,Aiden Markram
6.0,0,30.0,1.0,5.0,1,2,v India,Paarl,2022-01-19,ODI # 4344,36.0,Aiden Markram
8.0,0,34.0,1.0,4.25,3,1,v India,Paarl,2022-01-21,ODI # 4346,48.0,Aiden Markram
3.0,0,21.0,0.0,7.0,6,2,v India,Cape Town,2022-01-23,ODI # 4349,18.0,Aiden Markram
4.0,0,25.0,2.0,6.25,6,2,v England,Chester-le-Street,2022-07-19,ODI # 4434,24.0,Aiden Markram
3.0,0,22.0,0.0,7.33,6,2,v India,Ranchi,2022-10-09,ODI # 4471,18.0,Aiden Markram
2.0,0,18.0,0.0,9.0,3,2,v England,Bloemfontein,2023-01-27,ODI # 4512,12.0,Aiden Markram
4.0,0,26.0,1.0,6.5,6,1,v England,Bloemfontein,2023-01-29,ODI # 4513,24.0,Aiden Markram
4.0,0,35.0,0.0,8.75,5,1,v England,Kimberley,2023-02-01,ODI # 4514,24.0,Aiden Markram
10.0,0,30.0,1.0,3.0,6,1,v West Indies,Potchefstroom,2023-03-21,ODI # 4544,60.0,Aiden Markram
4.0,0,30.0,1.0,7.5,6,1,v Netherlands,Benoni,2023-03-31,ODI # 4558,24.0,Aiden Markram
6.0,0,40.0,2.0,6.66,6,2,v Netherlands,Johannesburg,2023-04-02,ODI # 4563,36.0,Aiden Markram
8.0,0,64.0,1.0,8.0,2,1,v India,Paarl,2022-01-21,ODI # 4346,48.0,Sisanda Magala
10.0,0,69.0,1.0,6.9,3,2,v India,Cape Town,2022-01-23,ODI # 4349,60.0,Sisanda Magala
9.0,0,46.0,3.0,5.11,6,2,v England,Bloemfontein,2023-01-27,ODI # 4512,54.0,Sisanda Magala
9.0,0,76.0,1.0,8.44,4,1,v England,Kimberley,2023-02-01,ODI # 4514,54.0,Sisanda Magala
8.0,2,37.0,3.0,4.62,3,1,v Netherlands,Benoni,2023-03-31,ODI # 4558,48.0,Sisanda Magala
9.0,2,43.0,5.0,4.77,4,2,v Netherlands,Johannesburg,2023-04-02,ODI # 4563,54.0,Sisanda Magala
10.0,0,57.0,3.0,5.7,3,1,v West Indies,East London,2023-03-18,ODI # 4540,60.0,Gerald Coetzee
10.0,0,53.0,2.0,5.3,5,1,v West Indies,Potchefstroom,2023-03-21,ODI # 4544,60.0,Gerald Coetzee
3.0,0,13.0,1.0,4.33,6,2,v Pakistan,Gqeberha,2019-01-19,ODI # 4080,18.0,Reeza Hendricks
2.0,0,21.0,0.0,10.5,6,1,v Pakistan,Centurion,2019-01-25,ODI # 4084,12.0,Reeza Hendricks
2.0,0,13.0,0.0,6.5,6,2,v Pakistan,Johannesburg,2019-01-27,ODI # 4087,12.0,Reeza Hendricks
3.0,0,19.0,0.0,6.33,6,1,v Australia,Potchefstroom,2020-03-07,ODI # 4254,18.0,Heinrich Klaasen
2.0,0,14.0,0.0,7.0,6,2,v Ireland,Dublin (Malahide),2021-07-16,ODI # 4305,12.0,Heinrich Klaasen
3.0,0,17.0,1.0,5.66,6,2,v Zimbabwe,Harare,2014-09-04,ODI # 3524,18.0,Rilee Rossouw
2.0,0,13.0,0.0,6.5,6,2,v Ireland,Canberra,2015-03-03,ODI # 3621,12.0,Rilee Rossouw
2.3,0,14.0,0.0,5.6,7,2,v New Zealand,Potchefstroom,2015-08-23,ODI # 3677,14.0,Rilee Rossouw
10.0,0,72.0,1.0,7.2,4,1,v England,Southampton,2017-05-27,ODI # 3873,60.0,Keshav Maharaj
6.1,0,25.0,3.0,4.05,4,1,v England,Lord's,2017-05-29,ODI # 3874,36.0,Keshav Maharaj
5.0,0,37.0,1.0,7.4,6,1,v Sri Lanka,Pallekele,2018-08-08,ODI # 4030,30.0,Keshav Maharaj
10.0,0,32.0,1.0,3.2,5,1,v Sri Lanka,Colombo (RPS),2018-08-12,ODI # 4031,60.0,Keshav Maharaj
10.0,0,48.0,1.0,4.8,1,2,v Australia,Paarl,2020-02-29,ODI # 4248,60.0,Keshav Maharaj
10.0,0,53.0,0.0,5.3,1,1,v Australia,Bloemfontein,2020-03-04,ODI # 4252,60.0,Keshav Maharaj
10.0,0,45.0,0.0,4.5,5,1,v Australia,Potchefstroom,2020-03-07,ODI # 4254,60.0,Keshav Maharaj
10.0,1,45.0,3.0,4.5,6,1,v Pakistan,Centurion,2021-04-07,ODI # 4287,60.0,Keshav Maharaj
9.0,0,38.0,0.0,4.22,4,1,v Ireland,Dublin (Malahide),2021-07-11,ODI # 4301,54.0,Keshav Maharaj
10.0,0,50.0,1.0,5.0,4,1,v Ireland,Dublin (Malahide),2021-07-13,ODI # 4302,60.0,Keshav Maharaj
10.0,1,51.0,2.0,5.1,1,2,v Ireland,Dublin (Malahide),2021-07-16,ODI # 4305,60.0,Keshav Maharaj
10.0,1,30.0,2.0,3.0,3,1,v Sri Lanka,Colombo (RPS),2021-09-02,ODI # 4314,60.0,Keshav Maharaj
8.0,0,32.0,1.0,4.0,3,2,v Sri Lanka,Colombo (RPS),2021-09-04,ODI # 4315,48.0,Keshav Maharaj
10.0,0,38.0,3.0,3.8,2,1,v Sri Lanka,Colombo (RPS),2021-09-07,ODI # 4318,60.0,Keshav Maharaj
1.0,0,6.0,0.0,6.0,1,2,v Netherlands,Centurion,2021-11-26,ODI # 4337,6.0,Keshav Maharaj
10.0,0,42.0,1.0,4.2,3,2,v India,Paarl,2022-01-19,ODI # 4344,60.0,Keshav Maharaj
9.0,0,52.0,1.0,5.77,4,1,v India,Paarl,2022-01-21,ODI # 4346,54.0,Keshav Maharaj
10.0,0,39.0,1.0,3.9,4,2,v India,Cape Town,2022-01-23,ODI # 4349,60.0,Keshav Maharaj
10.0,0,56.0,2.0,5.6,4,1,v Bangladesh,Centurion,2022-03-18,ODI # 4370,60.0,Keshav Maharaj
10.0,0,57.0,0.0,5.7,6,1,v Bangladesh,Johannesburg,2022-03-20,ODI # 4372,60.0,Keshav Maharaj
7.0,0,36.0,1.0,5.14,3,2,v Bangladesh,Centurion,2022-03-23,ODI # 4375,42.0,Keshav Maharaj
10.0,1,42.0,1.0,4.2,1,2,v England,Chester-le-Street,2022-07-19,ODI # 4434,60.0,Keshav Maharaj
6.0,0,29.0,1.0,4.83,1,1,v England,Manchester,2022-07-22,ODI # 4435,36.0,Keshav Maharaj
8.0,1,23.0,1.0,2.87,3,2,v India,Lucknow,2022-10-06,ODI # 4470,48.0,Keshav Maharaj
7.0,0,45.0,0.0,6.42,5,2,v India,Ranchi,2022-10-09,ODI # 4471,42.0,Keshav Maharaj
8.0,0,51.0,1.0,6.37,5,1,v England,Bloemfontein,2023-01-29,ODI # 4513,48.0,Keshav Maharaj
10.0,0,52.0,1.0,5.2,3,2,v Australia,Perth,2009-01-30,ODI # 2808,60.0,Wayne Parnell
8.0,4,25.0,4.0,3.12,2,1,v Australia,Centurion,2009-04-05,ODI # 2834,48.0,Wayne Parnell
9.0,0,47.0,0.0,5.22,2,2,v Australia,Cape Town,2009-04-09,ODI # 2839,54.0,Wayne Parnell
9.0,0,64.0,1.0,7.11,2,2,v Australia,Gqeberha,2009-04-13,ODI # 2840,54.0,Wayne Parnell
10.0,0,79.0,3.0,7.9,2,1,v Sri Lanka,Centurion,2009-09-22,ODI # 2893,60.0,Wayne Parnell
8.0,0,57.0,5.0,7.12,2,1,v New Zealand,Centurion,2009-09-24,ODI # 2895,48.0,Wayne Parnell
10.0,2,60.0,3.0,6.0,2,1,v England,Centurion,2009-09-27,ODI # 2900,60.0,Wayne Parnell
9.3,1,48.0,5.0,5.05,2,2,v England,Cape Town,2009-11-27,ODI # 2930,57.0,Wayne Parnell
6.0,0,30.0,0.0,5.0,1,2,v England,Gqeberha,2009-11-29,ODI # 2931,36.0,Wayne Parnell
9.0,0,69.0,1.0,7.66,2,1,v India,Jaipur,2010-02-21,ODI # 2961,54.0,Wayne Parnell
10.0,0,95.0,2.0,9.5,2,1,v India,Gwalior,2010-02-24,ODI # 2962,60.0,Wayne Parnell
10.0,0,59.0,1.0,5.9,2,2,v Zimbabwe,Bloemfontein,2010-10-15,ODI # 3057,60.0,Wayne Parnell
8.0,1,52.0,2.0,6.5,3,1,v Zimbabwe,Potchefstroom,2010-10-17,ODI # 3059,48.0,Wayne Parnell
7.0,0,30.0,2.0,4.28,3,2,v Zimbabwe,Benoni,2010-10-22,ODI # 3061,42.0,Wayne Parnell
8.5,0,53.0,0.0,6.0,2,2,v Pakistan,Dubai (DSC),2010-11-05,ODI # 3067,53.0,Wayne Parnell
7.0,0,25.0,1.0,3.57,4,2,v India,Durban,2011-01-12,ODI # 3079,42.0,Wayne Parnell
7.0,0,43.0,0.0,6.14,3,1,v India,Johannesburg,2011-01-15,ODI # 3080,42.0,Wayne Parnell
8.0,0,53.0,0.0,6.62,3,2,v India,Cape Town,2011-01-18,ODI # 3082,48.0,Wayne Parnell
4.0,1,4.0,0.0,1.0,3,2,v Bangladesh,Mirpur,2011-03-19,ODI # 3138,24.0,Wayne Parnell
9.0,0,52.0,0.0,5.77,4,2,v Sri Lanka,Kimberley,2012-01-20,ODI # 3228,54.0,Wayne Parnell
10.0,0,51.0,2.0,5.1,4,2,v Sri Lanka,Johannesburg,2012-01-22,ODI # 3229,60.0,Wayne Parnell
4.0,0,18.0,0.0,4.5,6,1,v New Zealand,Auckland,2012-03-03,ODI # 3254,24.0,Wayne Parnell
7.0,1,30.0,2.0,4.28,4,2,v England,Southampton,2012-08-28,ODI # 3298,42.0,Wayne Parnell
10.0,1,23.0,1.0,2.3,4,2,v England,The Oval,2012-08-31,ODI # 3300,60.0,Wayne Parnell
8.0,0,39.0,0.0,4.87,5,2,v England,Lord's,2012-09-02,ODI # 3302,48.0,Wayne Parnell
8.2,0,38.0,1.0,4.56,4,1,v England,Nottingham,2012-09-05,ODI # 3304,49.0,Wayne Parnell
8.0,1,41.0,3.0,5.12,3,2,v Pakistan,Sharjah,2013-10-30,ODI # 3425,48.0,Wayne Parnell
7.4,0,49.0,1.0,6.39,3,1,v Pakistan,Dubai (DSC),2013-11-01,ODI # 3427,46.0,Wayne Parnell
7.0,1,36.0,3.0,5.14,5,2,v Pakistan,Sharjah,2013-11-11,ODI # 3433,42.0,Wayne Parnell
8.5,0,30.0,1.0,3.39,4,1,v Pakistan,Centurion,2013-11-30,ODI # 3441,53.0,Wayne Parnell
5.0,0,37.0,0.0,7.4,5,2,v India,Johannesburg,2013-12-05,ODI # 3442,30.0,Wayne Parnell
4.0,0,38.0,1.0,9.5,3,2,v Sri Lanka,Hambantota,2014-07-12,ODI # 3502,24.0,Wayne Parnell
8.0,0,43.0,2.0,5.37,2,2,v Zimbabwe,Bulawayo,2014-08-17,ODI # 3507,48.0,Wayne Parnell
9.0,2,28.0,3.0,3.11,2,2,v Zimbabwe,Bulawayo,2014-08-19,ODI # 3508,54.0,Wayne Parnell
8.0,0,33.0,2.0,4.12,4,1,v Zimbabwe,Bulawayo,2014-08-21,ODI # 3510,48.0,Wayne Parnell
7.0,0,66.0,0.0,9.42,2,1,v Australia,Harare,2014-08-27,ODI # 3516,42.0,Wayne Parnell
8.0,0,39.0,1.0,4.87,4,2,v Zimbabwe,Harare,2014-09-04,ODI # 3524,48.0,Wayne Parnell
10.0,1,40.0,2.0,4.0,3,1,v Australia,Harare,2014-09-06,ODI # 3526,60.0,Wayne Parnell
9.0,0,52.0,2.0,5.77,4,2,v Australia,Melbourne,2014-11-21,ODI # 3549,54.0,Wayne Parnell
9.0,0,54.0,1.0,6.0,3,2,v Australia,Sydney,2014-11-23,ODI # 3551,54.0,Wayne Parnell
10.0,0,48.0,1.0,4.8,5,2,v West Indies,Gqeberha,2015-01-25,ODI # 3591,60.0,Wayne Parnell
9.0,0,42.0,4.0,4.66,3,2,v West Indies,Centurion,2015-01-28,ODI # 3593,54.0,Wayne Parnell
9.0,0,85.0,1.0,9.44,6,1,v India,Melbourne,2015-02-22,ODI # 3610,54.0,Wayne Parnell
6.0,1,23.0,2.0,3.83,2,2,v Australia,Providence,2016-06-07,ODI # 3741,36.0,Wayne Parnell
7.0,0,34.0,1.0,4.85,4,1,v Australia,Basseterre,2016-06-11,ODI # 3743,42.0,Wayne Parnell
6.0,0,43.0,1.0,7.16,1,2,v West Indies,Basseterre,2016-06-15,ODI # 3747,36.0,Wayne Parnell
9.5,0,63.0,1.0,6.4,2,1,v West Indies,Bridgetown,2016-06-24,ODI # 3754,59.0,Wayne Parnell
6.0,1,36.0,2.0,6.0,2,2,v Ireland,Benoni,2016-09-25,ODI # 3780,36.0,Wayne Parnell
8.0,0,56.0,1.0,7.0,3,1,v Australia,Centurion,2016-09-30,ODI # 3785,48.0,Wayne Parnell
7.0,0,40.0,3.0,5.71,3,2,v Australia,Johannesburg,2016-10-02,ODI # 3787,42.0,Wayne Parnell
10.0,1,48.0,3.0,4.8,2,1,v Sri Lanka,Gqeberha,2017-01-28,ODI # 3828,60.0,Wayne Parnell
6.0,0,34.0,2.0,5.66,2,2,v Sri Lanka,Durban,2017-02-01,ODI # 3830,36.0,Wayne Parnell
9.1,0,58.0,4.0,6.32,1,2,v Sri Lanka,Cape Town,2017-02-07,ODI # 3833,54.0,Wayne Parnell
7.0,0,51.0,2.0,7.28,3,2,v Sri Lanka,Centurion,2017-02-10,ODI # 3834,42.0,Wayne Parnell
8.0,0,49.0,1.0,6.12,2,1,v New Zealand,Christchurch,2017-02-22,ODI # 3839,48.0,Wayne Parnell
8.0,0,33.0,2.0,4.12,2,2,v New Zealand,Wellington,2017-02-25,ODI # 3841,48.0,Wayne Parnell
7.0,1,44.0,0.0,6.28,2,2,v New Zealand,Hamilton,2017-03-01,ODI # 3843,42.0,Wayne Parnell
7.0,0,47.0,1.0,6.71,2,1,v England,Leeds,2017-05-24,ODI # 3872,42.0,Wayne Parnell
8.0,0,43.0,3.0,5.37,2,1,v England,Lord's,2017-05-29,ODI # 3874,48.0,Wayne Parnell
10.0,0,54.0,0.0,5.4,2,2,v Sri Lanka,The Oval,2017-06-03,ODI # 3877,60.0,Wayne Parnell
4.0,0,25.0,0.0,6.25,2,2,v Pakistan,Birmingham,2017-06-07,ODI # 3881,24.0,Wayne Parnell
1.0,0,5.0,0.0,5.0,2,2,v Netherlands,Centurion,2021-11-26,ODI # 4337,6.0,Wayne Parnell
2.5,0,6.0,1.0,2.11,3,1,v Bangladesh,Johannesburg,2022-03-20,ODI # 4372,17.0,Wayne Parnell
8.0,1,38.0,1.0,4.75,2,2,v India,Lucknow,2022-10-06,ODI # 4470,48.0,Wayne Parnell
8.0,0,44.0,1.0,5.5,2,2,v India,Ranchi,2022-10-09,ODI # 4471,48.0,Wayne Parnell
8.0,0,42.0,0.0,5.25,1,2,v England,Bloemfontein,2023-01-27,ODI # 4512,48.0,Wayne Parnell
10.0,1,54.0,1.0,5.4,1,1,v England,Bloemfontein,2023-01-29,ODI # 4513,60.0,Wayne Parnell
9.0,0,53.0,0.0,5.88,3,1,v England,Kimberley,2023-02-01,ODI # 4514,54.0,Wayne Parnell
5.2,1,30.0,1.0,5.62,2,1,v West Indies,Potchefstroom,2023-03-21,ODI # 4544,32.0,Wayne Parnell
5.0,0,19.0,1.0,3.8,3,2,v Ireland,Benoni,2016-09-25,ODI # 3780,30.0,Dwaine Pretorius
6.0,0,42.0,0.0,7.0,3,1,v Australia,Durban,2016-10-05,ODI # 3790,36.0,Dwaine Pretorius
7.0,1,33.0,1.0,4.71,2,1,v Australia,Gqeberha,2016-10-09,ODI # 3792,42.0,Dwaine Pretorius
7.0,2,19.0,3.0,2.71,3,1,v Sri Lanka,Johannesburg,2017-02-04,ODI # 3831,42.0,Dwaine Pretorius
8.0,0,55.0,2.0,6.87,2,2,v Sri Lanka,Cape Town,2017-02-07,ODI # 3833,48.0,Dwaine Pretorius
10.0,0,40.0,2.0,4.0,3,1,v New Zealand,Christchurch,2017-02-22,ODI # 3839,60.0,Dwaine Pretorius
5.2,1,5.0,3.0,0.93,4,2,v New Zealand,Wellington,2017-02-25,ODI # 3841,32.0,Dwaine Pretorius
8.0,0,55.0,0.0,6.87,5,2,v New Zealand,Hamilton,2017-03-01,ODI # 3843,48.0,Dwaine Pretorius
8.0,0,36.0,0.0,4.5,5,1,v New Zealand,Auckland,2017-03-04,ODI # 3846,48.0,Dwaine Pretorius
10.0,0,61.0,1.0,6.1,3,1,v England,Southampton,2017-05-27,ODI # 3873,60.0,Dwaine Pretorius
10.0,0,48.0,2.0,4.8,4,1,v Bangladesh,Kimberley,2017-10-15,ODI # 3923,60.0,Dwaine Pretorius
10.0,0,48.0,2.0,4.8,3,2,v Bangladesh,Paarl,2017-10-18,ODI # 3925,60.0,Dwaine Pretorius
10.0,0,32.0,3.0,3.2,4,1,v Australia,Adelaide,2018-11-09,ODI # 4067,60.0,Dwaine Pretorius
10.0,0,61.0,2.0,6.1,5,2,v Australia,Hobart,2018-11-11,ODI # 4069,60.0,Dwaine Pretorius
10.0,0,42.0,0.0,4.2,3,2,v Pakistan,Gqeberha,2019-01-19,ODI # 4080,60.0,Dwaine Pretorius
10.0,1,46.0,2.0,4.6,4,1,v Pakistan,Cape Town,2019-01-30,ODI # 4090,60.0,Dwaine Pretorius
7.0,0,44.0,0.0,6.28,4,1,v Sri Lanka,Johannesburg,2019-03-03,ODI # 4104,42.0,Dwaine Pretorius
2.0,0,6.0,0.0,3.0,4,2,v Sri Lanka,Durban,2019-03-10,ODI # 4112,12.0,Dwaine Pretorius
4.0,0,27.0,0.0,6.75,6,1,v Sri Lanka,Cape Town,2019-03-16,ODI # 4115,24.0,Dwaine Pretorius
7.0,0,42.0,0.0,6.0,4,1,v England,The Oval,2019-05-30,ODI # 4143,42.0,Dwaine Pretorius
10.0,2,25.0,3.0,2.5,3,1,v Sri Lanka,Chester-le-Street,2019-06-28,ODI # 4176,60.0,Dwaine Pretorius
6.0,2,27.0,2.0,4.5,3,2,v Australia,Manchester,2019-07-06,ODI # 4188,36.0,Dwaine Pretorius
9.2,0,54.0,2.0,5.78,2,2,v India,Cape Town,2022-01-23,ODI # 4349,55.0,Dwaine Pretorius
2.0,0,18.0,0.0,9.0,5,2,v Bangladesh,Centurion,2022-03-23,ODI # 4375,12.0,Dwaine Pretorius
3.0,0,26.0,0.0,8.66,7,2,v England,Chester-le-Street,2022-07-19,ODI # 4434,18.0,Dwaine Pretorius
6.0,0,36.0,4.0,6.0,4,1,v England,Manchester,2022-07-22,ODI # 4435,36.0,Dwaine Pretorius
6.0,0,47.0,0.0,7.83,2,1,v India,Cape Town,2018-02-07,ODI # 3971,36.0,Lungi Ngidi
10.0,0,52.0,2.0,5.2,3,1,v India,Johannesburg,2018-02-10,ODI # 3973,60.0,Lungi Ngidi
9.0,1,51.0,4.0,5.66,3,1,v India,Gqeberha,2018-02-13,ODI # 3976,54.0,Lungi Ngidi
8.0,1,54.0,2.0,6.75,2,2,v India,Centurion,2018-02-16,ODI # 3978,48.0,Lungi Ngidi
8.0,1,29.0,1.0,3.62,2,1,v Sri Lanka,Dambulla,2018-07-29,ODI # 4025,48.0,Lungi Ngidi
8.0,1,50.0,3.0,6.25,2,1,v Sri Lanka,Dambulla,2018-08-01,ODI # 4027,48.0,Lungi Ngidi
8.2,0,57.0,4.0,6.84,2,2,v Sri Lanka,Pallekele,2018-08-05,ODI # 4029,49.0,Lungi Ngidi
8.0,0,65.0,2.0,8.12,1,1,v Sri Lanka,Pallekele,2018-08-08,ODI # 4030,48.0,Lungi Ngidi
8.1,1,19.0,3.0,2.32,2,1,v Zimbabwe,Kimberley,2018-09-30,ODI # 4049,48.0,Lungi Ngidi
7.0,1,26.0,1.0,3.71,2,2,v Zimbabwe,Bloemfontein,2018-10-03,ODI # 4050,42.0,Lungi Ngidi
8.1,3,26.0,2.0,3.18,2,1,v Australia,Perth,2018-11-04,ODI # 4065,48.0,Lungi Ngidi
9.0,0,67.0,1.0,7.44,2,1,v Australia,Adelaide,2018-11-09,ODI # 4067,54.0,Lungi Ngidi
10.0,0,56.0,1.0,5.6,2,2,v Australia,Hobart,2018-11-11,ODI # 4069,60.0,Lungi Ngidi
10.0,0,60.0,3.0,6.0,2,1,v Sri Lanka,Johannesburg,2019-03-03,ODI # 4104,60.0,Lungi Ngidi
5.2,0,14.0,2.0,2.62,2,2,v Sri Lanka,Centurion,2019-03-06,ODI # 4107,32.0,Lungi Ngidi
5.0,1,25.0,1.0,5.0,2,2,v Sri Lanka,Durban,2019-03-10,ODI # 4112,30.0,Lungi Ngidi
5.0,1,22.0,1.0,4.4,2,1,v Sri Lanka,Gqeberha,2019-03-13,ODI # 4114,30.0,Lungi Ngidi
5.0,1,16.0,1.0,3.2,2,1,v Sri Lanka,Cape Town,2019-03-16,ODI # 4115,30.0,Lungi Ngidi
10.0,0,66.0,3.0,6.6,2,1,v England,The Oval,2019-05-30,ODI # 4143,60.0,Lungi Ngidi
4.0,0,34.0,0.0,8.5,1,1,v Bangladesh,The Oval,2019-06-02,ODI # 4147,24.0,Lungi Ngidi
10.0,1,47.0,1.0,4.7,2,2,v New Zealand,Birmingham,2019-06-19,ODI # 4165,60.0,Lungi Ngidi
9.0,0,64.0,3.0,7.11,2,1,v Pakistan,Lord's,2019-06-23,ODI # 4171,54.0,Lungi Ngidi
7.0,0,42.0,0.0,6.0,2,1,v England,Cape Town,2020-02-04,ODI # 4234,42.0,Lungi Ngidi
9.0,2,63.0,3.0,7.0,1,2,v England,Johannesburg,2020-02-09,ODI # 4242,54.0,Lungi Ngidi
8.0,0,30.0,3.0,3.75,3,2,v Australia,Paarl,2020-02-29,ODI # 4248,48.0,Lungi Ngidi
10.0,0,58.0,6.0,5.8,3,1,v Australia,Bloemfontein,2020-03-04,ODI # 4252,60.0,Lungi Ngidi
10.0,1,65.0,0.0,6.5,2,2,v Pakistan,Centurion,2021-04-02,ODI # 4285,60.0,Lungi Ngidi
9.0,0,66.0,1.0,7.33,2,2,v Pakistan,Johannesburg,2021-04-04,ODI # 4286,54.0,Lungi Ngidi
8.0,0,33.0,0.0,4.12,2,1,v Ireland,Dublin (Malahide),2021-07-11,ODI # 4301,48.0,Lungi Ngidi
10.0,0,64.0,2.0,6.4,4,2,v India,Paarl,2022-01-19,ODI # 4344,60.0,Lungi Ngidi
8.0,0,35.0,0.0,4.37,1,1,v India,Paarl,2022-01-21,ODI # 4346,48.0,Lungi Ngidi
10.0,0,58.0,3.0,5.8,1,2,v India,Cape Town,2022-01-23,ODI # 4349,60.0,Lungi Ngidi
10.0,1,75.0,1.0,7.5,1,1,v Bangladesh,Centurion,2022-03-18,ODI # 4370,60.0,Lungi Ngidi
