Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
9.0,0,43.0,5.0,4.77,5,2,v Ireland,Dublin (Malahide),2016-06-16,ODI # 3748,54.0,Dasun Shanaka
6.0,0,35.0,1.0,5.83,4,2,v Ireland,Dublin (Malahide),2016-06-18,ODI # 3749,36.0,Dasun Shanaka
3.0,0,21.0,0.0,7.0,3,2,v England,Nottingham,2016-06-21,ODI # 3751,18.0,Dasun Shanaka
1.0,0,12.0,0.0,12.0,5,2,v England,The Oval,2016-06-29,ODI # 3757,6.0,Dasun Shanaka
2.0,0,10.0,0.0,5.0,4,2,v Australia,Pallekele,2016-09-04,ODI # 3776,12.0,Dasun Shanaka
2.0,0,5.0,0.0,2.5,3,1,v Zimbabwe,Bulawayo,2016-11-21,ODI # 3807,12.0,Dasun Shanaka
2.0,0,18.0,0.0,9.0,4,1,v Zimbabwe,Bulawayo,2016-11-27,ODI # 3810,12.0,Dasun Shanaka
2.0,0,20.0,1.0,10.0,4,2,v South Africa,Pallekele,2018-08-08,ODI # 4030,12.0,Dasun Shanaka
3.0,0,19.0,0.0,6.33,7,1,v Bangladesh,Dubai (DSC),2018-09-15,ODI # 4036,18.0,Dasun Shanaka
6.0,0,36.0,0.0,6.0,6,1,v New Zealand,Nelson,2019-01-08,ODI # 4076,36.0,Dasun Shanaka
6.0,0,27.0,3.0,4.5,4,2,v Bangladesh,Colombo (RPS),2019-07-31,ODI # 4195,36.0,Dasun Shanaka
5.0,0,28.0,0.0,5.6,2,2,v Pakistan,Karachi,2019-10-02,ODI # 4212,30.0,Dasun Shanaka
7.0,0,38.0,0.0,5.42,4,1,v Bangladesh,Mirpur,2021-05-25,ODI # 4291,42.0,Dasun Shanaka
3.0,0,10.0,1.0,3.33,6,2,v India,Colombo (RPS),2021-07-20,ODI # 4309,18.0,Dasun Shanaka
8.0,0,33.0,1.0,4.12,5,1,v India,Colombo (RPS),2021-07-23,ODI # 4312,48.0,Dasun Shanaka
2.0,0,14.0,0.0,7.0,6,2,v South Africa,Colombo (RPS),2021-09-02,ODI # 4314,12.0,Dasun Shanaka
